"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Sun Dec 03 03:15:58 +0000 2023","1731150255021031615","Horas Medan!   Pak Anies Baswedan disambut meriah oleh relawan &amp; warga saat tiba di Bandara Kualanamu  Medan  #AMINAjaDulu  #AniesMuhaimin2024  #SalamAd1lMakmur https://t.co/PCtCIt6aOc","8","15","265","624","in","1334853481019056128","1731150255021031615","Mdy_Asmara1701","https://twitter.com/Mdy_Asmara1701/status/1731150255021031615","https://pbs.twimg.com/ext_tw_video_thumb/1731150201107447808/pu/img/ykncVoRveSd1AIGI.jpg","Jakarta Capital Region"
"Sun Dec 03 03:09:18 +0000 2023","1731148576603206074","Masya Allah  baru tahu ternyata Prof. Dr. Syafii Antonio Ahli Ekonomi sekaligus Pendakwah ini juga berada dalam Tim Pakar Anies Muhaimin.   Bismillah makin Kuat team AMIN menuju Kemenangan utk Indonesia Adil dan Makmur.   #AniesMuhaimin2024 #AMINAjaDulu https://t.co/B0108F2hY5","4","10","285","612","in","1132425764622675969","1731148576603206074","BangPino__","https://twitter.com/BangPino__/status/1731148576603206074","https://pbs.twimg.com/ext_tw_video_thumb/1731148474639593472/pu/img/QNEOoucpUipFVbaP.jpg","London, England"
"Sun Dec 03 04:10:08 +0000 2023","1731163885288488976","AMIN No 1  No 1 pilihanku   Momen kemeriahan emak-emak  menunggu kehadiran pak Anies Baswedan di Bandara Kualanamu  Medan   #AMINAjaDulu  #AniesMuhaimin2024  #SalamAd1lMakmur https://t.co/Xc5kGW7sGj","0","2","50","108","in","1334853481019056128","1731163885288488976","Mdy_Asmara1701","https://twitter.com/Mdy_Asmara1701/status/1731163885288488976","https://pbs.twimg.com/ext_tw_video_thumb/1731163818523500544/pu/img/QspDicZZZvd8mfai.jpg","Jakarta Capital Region"
"Sun Dec 03 01:07:07 +0000 2023","1731117830119243862","Janji Anies Baswedan Jika Terpilih Jadi Presiden: Kembalikan Lagi Pegawai KPK yang Tersingkir di TWK https://t.co/dcw2W5Zuly #TempoNasional","8","36","185","600","in","18129942","1731117830119243862","tempodotco","https://twitter.com/tempodotco/status/1731117830119243862","","Indonesia"
"Sun Dec 03 01:37:53 +0000 2023","1731125570547982833","Semoga Pak Anies Baswedan sehat selalu dan senantiasa dalam lindungan Allah SWT 🙏  #BismillahAMIN #AniesMuhaimin2024 https://t.co/hltpGdhFKR","4","10","85","205","in","1334853481019056128","1731125570547982833","Mdy_Asmara1701","https://twitter.com/Mdy_Asmara1701/status/1731125570547982833","https://pbs.twimg.com/amplify_video_thumb/1731123181434658817/img/UCKaXTqu2He9MOR7.jpg","Jakarta Capital Region"
"Sun Dec 03 01:28:39 +0000 2023","1731123248258310147","Ahoi  Horas  Mejuah-juah  Ya'Ahowu! Sampai jumpa siang nanti di GOR Pancing  Medan…  #AMINAjaDulu #Medan https://t.co/WrfLgkRWbQ","6","54","445","1476","in","110312278","1731123248258310147","aniesbaswedan","https://twitter.com/aniesbaswedan/status/1731123248258310147","https://pbs.twimg.com/amplify_video_thumb/1731123181434658817/img/UCKaXTqu2He9MOR7.jpg","Indonesia"
"Sun Dec 03 00:54:17 +0000 2023","1731114597808209943","Usai drama "Capek Lihatcara Jahat"  Pilihan tepat hanya pak  anies alias amin https://t.co/9rlysajd5k","1","6","10","40","in","374842781","1731114597808209943","celukakuro","https://twitter.com/celukakuro/status/1731114597808209943","https://pbs.twimg.com/ext_tw_video_thumb/1731114522080112640/pu/img/4fRAyRgfovNQvlCw.jpg","United States"
"Sun Dec 03 02:31:27 +0000 2023","1731139051858862307","sekeluarga kompak relawan anies.. https://t.co/mktXRP7eaT","3","4","32","76","in","1722014606712094720","1731139051858862307","herculep638","https://twitter.com/herculep638/status/1731139051858862307","https://pbs.twimg.com/ext_tw_video_thumb/1731138989888020480/pu/img/QJhGkD1Qwwgv-e9g.jpg",""
"Sun Dec 03 01:13:35 +0000 2023","1731119456930390336","Setelah kemarin sy posting foto Haikal Hasan yg hadir di acara kampanye Prabowo atau 02  byk yg menyimpulkan kelompok radikal kembali ada di sana semua.  Sepertinya ga begitu juga Krn faktanya Yusuf martak ada dibarisan Anies atau 01.  Makanya dr awal sy bilang  Ganjar Mahfud… https://t.co/j6SE9718bj","5","104","102","320","in","154435354","1731119456930390336","ch_chotimah2","https://twitter.com/ch_chotimah2/status/1731119456930390336","https://pbs.twimg.com/media/GAYr-MgaoAAC5sc.jpg","Kalimantan Timur, Indonesia"
"Sun Dec 03 00:00:42 +0000 2023","1731101112676257843","Pemimpin Cerdas yg akan membuat Indonesia disegani di dunia. Moment para Duta Besar berebut Selfie bersama Pak Anies di acara CIFP Forum.  InsyaAllah ANIES Presiden ☝️ https://t.co/H9SYhtqqRs","5","4","96","186","in","1603593688005115905","1731101112676257843","Malika6027","https://twitter.com/Malika6027/status/1731101112676257843","https://pbs.twimg.com/ext_tw_video_thumb/1731101033353678848/pu/img/rcqvV7Du1iFZIU0A.jpg",""
