"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Sun Dec 10 13:12:51 +0000 2023","1733837179376541825","Perubahan itu semakin nyata  cukup 1 saja 😊☝❤🇮🇩  #papua #indonesia #fyp #amin #AniesMuhaimin2024 #AminMenang1Putaran #CoblosNo1 https://t.co/JBFNkGXVZm","14","27","400","1025","in","836539655478624258","1733837179376541825","aniesmania","https://twitter.com/aniesmania/status/1733837179376541825","https://pbs.twimg.com/ext_tw_video_thumb/1733836862702419968/pu/img/gSG9T7P-8w83N2IG.jpg",""
"Sun Dec 10 11:52:19 +0000 2023","1733816912377979060","Pilih CaPres yang sudah jelas Amanahnya  KecerdasanNya dan Jelas Rekam Jejaknya . AMIN IsThe Best👍 #AMINAjaDulu #AMINPresiden2024 https://t.co/FgZ4FlugD8","7","18","254","591","in","1605760365866160129","1733816912377979060","Putri96960977","https://twitter.com/Putri96960977/status/1733816912377979060","https://pbs.twimg.com/ext_tw_video_thumb/1733816527164723200/pu/img/lNSFljxUGrP8rY50.jpg",""
"Sun Dec 10 10:21:48 +0000 2023","1733794133997969532","Gelombang Perubahan Meluas  Timnas Amin Sambut Baik Dukungan Partai Pelita https://t.co/bg4DjsmL6U https://t.co/MXU07qnCn2","4","9","338","851","in","1269807484174123008","1733794133997969532","ZulkifliLubis69","https://twitter.com/ZulkifliLubis69/status/1733794133997969532","https://pbs.twimg.com/ext_tw_video_thumb/1733794090729508864/pu/img/m1jXc39TBf_rb8fk.jpg",""
"Sun Dec 10 13:40:01 +0000 2023","1733844015882322321","Sikap pekerja migran Malaysia mendukung AMIN https://t.co/NBwX0tPup4","4","8","330","934","in","1456283686312103939","1733844015882322321","Yurissa_Samosir","https://twitter.com/Yurissa_Samosir/status/1733844015882322321","https://pbs.twimg.com/ext_tw_video_thumb/1733843979177967616/pu/img/HMIt427W7C67ldhn.jpg",""
"Sun Dec 10 12:03:06 +0000 2023","1733819627078295599","Cak Imin: akan ada 3 pemenang pilpres. Pemenang baliho terbanyak  pemenang versi survei &amp; pemenang sebenarnya yaitu AMIN..  Meledakkkk 💥💥 https://t.co/m9gEmc3K3m","15","46","931","2657","in","1006827831995711488","1733819627078295599","ekowboy2","https://twitter.com/ekowboy2/status/1733819627078295599","https://pbs.twimg.com/ext_tw_video_thumb/1733818080101646336/pu/img/snKjL0R3VkmrG4_V.jpg",""
"Sun Dec 10 14:57:58 +0000 2023","1733863632839348470","Pendukung AMIN No Satu di Cerebon 👍😎 https://t.co/DrR4Bxqg3A","3","10","320","973","in","1492070271800414210","1733863632839348470","PutraErlangga95","https://twitter.com/PutraErlangga95/status/1733863632839348470","https://pbs.twimg.com/ext_tw_video_thumb/1733863470263853056/pu/img/xcXgEnCSsSXFlrCN.jpg","Jakarta Pusat, DKI Jakarta"
"Sun Dec 10 16:42:32 +0000 2023","1733889949303296466","Idi Amin Dada https://t.co/F1u2jye0Fs","28","28","315","779","tl","1499826662866837518","1733889949303296466","tebankadde","https://twitter.com/tebankadde/status/1733889949303296466","https://pbs.twimg.com/ext_tw_video_thumb/1733889866033737728/pu/img/7Pn1G6n2N5srWVoL.jpg","Dunkirk, France"
"Sun Dec 10 13:11:37 +0000 2023","1733836870432489910","Yakinlah Semua akan AMIN Pada Waktunya   Partai Pelita Deklarasikan Dukungan kepada Anies - Muhaimin pasangan No 1 Indonesia Adil dan Makmur untuk Semua 💞  #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/857QHOEKqI","15","177","661","1798","in","1334853481019056128","1733836870432489910","Mdy_Asmara1701","https://twitter.com/Mdy_Asmara1701/status/1733836870432489910","https://pbs.twimg.com/ext_tw_video_thumb/1733836748512432128/pu/img/JuplZYnUJL38bGM3.jpg","Jakarta Capital Region"
"Sun Dec 10 15:14:03 +0000 2023","1733867679428026808","AMİN  https://t.co/LQ9sdtKced","0","0","2","134","en","1333736830928351233","1733867679428026808","theesevo","https://twitter.com/theesevo/status/1733867679428026808","https://pbs.twimg.com/ext_tw_video_thumb/1708166549691834368/pu/img/uPifX7lDBoXMc9Ki.jpg",""
"Sun Dec 10 10:57:34 +0000 2023","1733803132940091850","2024 may my body gets even better  amin https://t.co/icNJxqdp2c","1","16","46","978","en","1194638411425972224","1733803132940091850","heinrichiy","https://twitter.com/heinrichiy/status/1733803132940091850","https://pbs.twimg.com/media/GA-0wL0bEAAF40s.jpg","Kendari, Southeast Sulawesi"
"Sun Dec 10 16:59:48 +0000 2023","1733894295180943819","Amin Al Husseini Met Ad0lf HitIer in 1941 to promote the final solution against the Jews of Mandatory Palestine. They were planning to spread the holocaust wherever they could Via: @zionistofarabia https://t.co/rd4wZVj5Yi","24","19","245","307","en","4927593075","1733894295180943819","IMTIzionism","https://twitter.com/IMTIzionism/status/1733894295180943819","https://pbs.twimg.com/ext_tw_video_thumb/1733894263061069824/pu/img/Izbe1SFgqpj-zwkr.jpg","Israel"
"Sun Dec 10 16:58:28 +0000 2023","1733893957283639793","Hello Lagos  Do well 🧨🧨🧨 https://t.co/sCLY2WSgo1","0","0","1","1","en","1538510600497774593","1733893957283639793","AlAminAminSaeed","https://twitter.com/AlAminAminSaeed/status/1733893957283639793","https://pbs.twimg.com/ext_tw_video_thumb/1733893919908249600/pu/img/uj0kcEmxklVrJfJA.jpg","Kaduna, Nigeria"
"Sun Dec 10 15:23:58 +0000 2023","1733870176985395509","May Allah protect us all from #Saudi fitnahs  Âmin https://t.co/8J45gucckS","0","3","5","13","en","1173690973009993732","1733870176985395509","cuve_00","https://twitter.com/cuve_00/status/1733870176985395509","https://pbs.twimg.com/ext_tw_video_thumb/1733870128880840704/pu/img/zqBrA5xwlo_R2n09.jpg",""
