created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location
2023-12-20 00:17:05+07:00,1737160135242289607,Amin,0,5,19,43,en,1406826472225050625,1737160135242289607,Lale7526Ruveyda,https://twitter.com/Lale7526Ruveyda/status/1737160135242289607,,
2023-12-20 02:12:47+07:00,1737189250741793114,Allahumme Amin...!  #GeceyeDuam #GeceyeNotum  #iyigeceler https://t.co/a3ZCQMuC7N,0,0,4,16,en,935788615371804672,1737189250741793114,esilacan001,https://twitter.com/esilacan001/status/1737189250741793114,https://pbs.twimg.com/ext_tw_video_thumb/1737189223025852416/pu/img/xvFhu7LP-2qRjqZT.jpg,
2023-12-20 04:56:35+07:00,1737230474328650012,Mervat Amin ❤️❤️ https://t.co/qxjVDHJlzV,0,0,10,77,en,1728173362944323584,1737230474328650012,StrictHappy,https://twitter.com/StrictHappy/status/1737230474328650012,https://pbs.twimg.com/ext_tw_video_thumb/1737230438190534656/pu/img/FzpxOOZJ8Zesulwp.jpg,Happy World
2023-12-20 05:07:56+07:00,1737233330901528833,Disgusting kafir beliefs of Rabbi Khomeini  may Allah ﷻ place him with fir'awn amin 🤲🏻 https://t.co/daVlUW7BID,0,2,3,8,en,1710561283844784128,1737233330901528833,MuhammadUmayyah,https://twitter.com/MuhammadUmayyah/status/1737233330901528833,https://pbs.twimg.com/media/GBvkgjWagAA4eRz.jpg,Lebanon
2023-12-20 05:27:49+07:00,1737238332189356181,24hrs in Sharm 🇪🇬 https://t.co/05YN3RdMhS,1,1,16,161,en,1528919882250829824,1737238332189356181,Fr33Amin,https://twitter.com/Fr33Amin/status/1737238332189356181,https://pbs.twimg.com/ext_tw_video_thumb/1737238272168820736/pu/img/lWq6NCMp9pV-IAPx.jpg,Dunder Mifflin
2023-12-20 09:14:49+07:00,1737295458316509504,Me : Terkial-kial.   In my life  I have never encountered a misogynist. The men I worked with in the past were all gentlemen. The only misogynist men on Twitter are those who don't have a profile picture. https://t.co/7lBNPz8As7,41,20,669,2165,en,1276089652911288320,1737295458316509504,K_Amin__,https://twitter.com/K_Amin__/status/1737295458316509504,https://pbs.twimg.com/media/GBwdAi_bMAAnGxE.jpg,K.Lumpur-Taipei
2023-12-20 10:16:17+07:00,1737310926032748899,"12 Days of Deals (Christmas Sales) Schedule  2 Crates  Dangerous Ride Legendary Crate"" and ""Sessions Over Crate""  will be back with Discount.  #CoDMobile #CODm https://t.co/hv6IydUWSU""",7,14,31,245,en,1210520402474209282,1737310926032748899,AminGhx,https://twitter.com/AminGhx/status/1737310926032748899,https://pbs.twimg.com/media/GBwrCw6WQAApr6i.jpg,Iran
2023-12-20 11:06:00+07:00,1737323438212313222,Alhamdulillah  grateful for another blessed day. May Allah ease everything. Amin,2,11,118,592,en,2342594371,1737323438212313222,MuslimsMatterss,https://twitter.com/MuslimsMatterss/status/1737323438212313222,,
2023-12-20 11:18:15+07:00,1737326520136519771,Appreciation post to Yel! Thank you for your existing Yel! Thank you for making us happy and cheerful every time you're doing live🥺  Thank you sa pakikipagkulitan/bargadulan sa amin sobra mo kaming napapasaya and sana napapasaya ka rin ng WRLD💜 WRLD loves you so so so much!💜 https://t.co/zJY9n8A3OA,1,0,13,38,en,1588913841412661248,1737326520136519771,iamyouranj,https://twitter.com/iamyouranj/status/1737326520136519771,https://pbs.twimg.com/media/GBw5QZGboAA-G_h.jpg,
2023-12-20 13:15:14+07:00,1737355961436623177,⚡️ Drop Alert   on @exchgART   🌊 🅰️fter the Storm  Reserved : 0.4 #Solana   #SolanaNFTs #SolanaCommunity #digitalart https://t.co/lH5XNIFojG,3,10,22,52,en,1519020880558448643,1737355961436623177,AminHayeri,https://twitter.com/AminHayeri/status/1737355961436623177,https://pbs.twimg.com/media/GBxTU_-WMAEKYKz.jpg,
