"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Sun Dec 10 11:54:14 +0000 2023","1733817397361180972","Putaran 2 Prabowo-Gibran vs Anies-Muhaimin  Qodari: "... jadi dengan melihat pola yg sudah ada klo tdk 1 putaran dan ada putaran ke-2 akan berhadapan Prabowo-Gibran Lawan Anies-Muhaimin..." https://t.co/sn7j2yVeKO","7","73","64","161","in","2395238000","1733817397361180972","tijabar","https://twitter.com/tijabar/status/1733817397361180972","https://pbs.twimg.com/ext_tw_video_thumb/1733815087285276672/pu/img/_vaupkWheWJwwDZo.jpg","Bandung, Jawa Barat"
"Sun Dec 10 16:06:57 +0000 2023","1733880995630453224","PAK ANIES AKAN HADIRI DI SIDANG PBB? https://t.co/K4j4qwCfwP","14","32","778","1172","in","1450037307826860039","1733880995630453224","QianzyZ","https://twitter.com/QianzyZ/status/1733880995630453224","https://pbs.twimg.com/ext_tw_video_thumb/1733880566616088576/pu/img/aL4VSng4fQCaHaug.jpg",""
"Sun Dec 10 10:41:03 +0000 2023","1733798976619737581","Rekam Jejak pak Anies saat jd Gub DKI  Beliau memberi pembelajaran akan tingginya peradaban dg memberikan penghormatan bagi para Lansia &amp; mrk yg memiliki kebutuhan khusus.  Itulah yg disebut keadilan &amp; kesetaraan utk semua. Mampu memberikan Prioritas pd orang yg tepat.… https://t.co/2R262FuvTD","20","20","622","1481","in","1132425764622675969","1733798976619737581","BangPino__","https://twitter.com/BangPino__/status/1733798976619737581","https://pbs.twimg.com/ext_tw_video_thumb/1733798879475499008/pu/img/_KBqfxFdMA89l1k1.jpg","London, England"
"Sun Dec 10 14:28:57 +0000 2023","1733856329218072869","Pesan bijaksana dari Pak Anies ... semoga @bawaslu_RI  n @DivHumas_Polri  juga bertindak  adil  n  bijaksana https://t.co/EUtyYRsyH5","1","5","107","231","in","1052339653","1733856329218072869","siregar_najeges","https://twitter.com/siregar_najeges/status/1733856329218072869","https://pbs.twimg.com/ext_tw_video_thumb/1733856286281003008/pu/img/GLfxZtGVWS8jomqE.jpg","Indonesia🇮🇩"
"Sun Dec 10 12:34:54 +0000 2023","1733827631467110645","Nomer Satu...  Satu putaran...  Pilih Anies...  Anies-Muhaimin....   #AniesMuhaimin2024  #AMINAjaDulu https://t.co/PMfEdLY27r","13","22","530","1698","in","1132425764622675969","1733827631467110645","BangPino__","https://twitter.com/BangPino__/status/1733827631467110645","https://pbs.twimg.com/ext_tw_video_thumb/1733827569018183680/pu/img/tzXYdBboHmyNr35b.jpg","London, England"
"Sun Dec 10 13:02:46 +0000 2023","1733834643873698221","Kami terharu saat disambut oleh ribuan warga Cirebon yang memadati Alun-Alun Kasepuhan. Mereka ikut  berkumpul untuk perubahan. Semoga  kita semua yang datang di sana akan jadi penggerak perubahan  bukan hanya penonton.  Kamu juga mau kan ikut jadi penggerak perubahan Indonesia?… https://t.co/rABog6E4Ab","37","433","1997","5819","in","110312278","1733834643873698221","aniesbaswedan","https://twitter.com/aniesbaswedan/status/1733834643873698221","https://pbs.twimg.com/ext_tw_video_thumb/1733834364612747264/pu/img/c51M8Bz-KqypWsP4.jpg","Indonesia"
"Sun Dec 10 16:21:07 +0000 2023","1733884560138813442","Bila ternyata ikhtiar kita ini menemukan ujungnya yang tidak seperti kita inginkan..sudah  kita kembalikan semua kepada ALLAH... Karena kita ingin punya kesadaran  bahwa pada masalah apapun yang kita hadapi..kita katakan  bahwa kita punya ALLAH.. ~Anies Rasyid Baswedan~ https://t.co/pPpiUwnN87","9","7","152","338","in","1390050216","1733884560138813442","SayyiidHaddaad","https://twitter.com/SayyiidHaddaad/status/1733884560138813442","https://pbs.twimg.com/ext_tw_video_thumb/1733884517809786880/pu/img/DY0cmZLDjOVxcWTj.jpg","Indonesia"
"Sun Dec 10 13:11:37 +0000 2023","1733836870432489910","Yakinlah Semua akan AMIN Pada Waktunya   Partai Pelita Deklarasikan Dukungan kepada Anies - Muhaimin pasangan No 1 Indonesia Adil dan Makmur untuk Semua 💞  #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/857QHOEKqI","15","177","661","1798","in","1334853481019056128","1733836870432489910","Mdy_Asmara1701","https://twitter.com/Mdy_Asmara1701/status/1733836870432489910","https://pbs.twimg.com/ext_tw_video_thumb/1733836748512432128/pu/img/JuplZYnUJL38bGM3.jpg","Jakarta Capital Region"
"Sun Dec 10 11:20:26 +0000 2023","1733808887923704076","Gue sih yes!  Anies Baswedan Janji Akan Buat Kebijakan Miskinkan Koruptor Jika Terpilih Jadi Presiden   #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/kRTOwDsJxG","17","75","761","1958","in","1334853481019056128","1733808887923704076","Mdy_Asmara1701","https://twitter.com/Mdy_Asmara1701/status/1733808887923704076","https://pbs.twimg.com/ext_tw_video_thumb/1733808722122883072/pu/img/qXQMQQ5hxQ7TLpCU.jpg","Jakarta Capital Region"
"Sun Dec 10 09:30:05 +0000 2023","1733781120343580956","Kita bikin polling dulu sodara2  sesuai no urut sbb: 1. Anies-Muhaimin = RT 2. Prabowo-Gibran = LIKE 3. Ganjar-Mahfud = REPLY  Gaskeun sodara2  campakkan itu hsl surpai-surpei berbyr murahan!🤣🤣🤣 https://t.co/0xNA7r4JgU","29","217","4656","471","in","105085302","1733781120343580956","bachrum_achmadi","https://twitter.com/bachrum_achmadi/status/1733781120343580956","https://pbs.twimg.com/media/GA-gvQGagAA-j65.jpg","Bekasi - Indonesia"
"Sun Dec 10 11:00:22 +0000 2023","1733803840032719100","Setengah Hati Golkar Menangkan Prabowo  Partai Golkar disebut-sebut belum sepenuh hati memenangkan Prabowo-Gibran. Ada yang merapat ke kubu Anies-Muhaimin.  Simak selengkapnya Program Bocor Alus Politik di Channel Youtube Tempodotco dan Spotify  #BocorAlusPolitik #PodcastBAP… https://t.co/849udNeNef","25","161","191","632","in","18129942","1733803840032719100","tempodotco","https://twitter.com/tempodotco/status/1733803840032719100","https://pbs.twimg.com/media/GA-1ZfIaYAAAUIu.jpg","Indonesia"
"Sun Dec 10 08:26:12 +0000 2023","1733765042850705502","Kamu suka yang mana?    #amin #AniesMuhaimin2024 #anies #MuhaiminIskandar #AminMenang1Putaran #coblosno1 https://t.co/9YyiqpJ0DX","19","112","301","848","in","836539655478624258","1733765042850705502","aniesmania","https://twitter.com/aniesmania/status/1733765042850705502","https://pbs.twimg.com/ext_tw_video_thumb/1733764984562405376/pu/img/dwZG_ME48s1ibD01.jpg",""
"Sun Dec 10 09:03:06 +0000 2023","1733774328528093530","Jangan pernah percaya hasil survei Paslon 1 Anies-Muhaimin paling rendah? Sementara fakta di lapangan selalu terbanyak warga yang hadir  tanpa bagi-bagi kaos/sembako/amplop! Warga sadar  mendukung PERUBAHAN Indonesia lebih baik  AD1L MAKMUR. #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/NpZiqhzBk2","11","42","500","1449","in","129750289","1733774328528093530","ZAEffendy","https://twitter.com/ZAEffendy/status/1733774328528093530","https://pbs.twimg.com/ext_tw_video_thumb/1733773903783411712/pu/img/VCgsNf6QFVj82khe.jpg","South East Asia"
"Sun Dec 10 11:47:32 +0000 2023","1733815708587626878","Pie Jal 😁 https://t.co/hZ439O63lJ","8","38","52","93","pl","1335552103457034240","1733815708587626878","sobat_anies","https://twitter.com/sobat_anies/status/1733815708587626878","https://pbs.twimg.com/ext_tw_video_thumb/1733815665247809536/pu/img/TE8S5oeB47GTOeTF.jpg","Surakarta, Jawa Tengah"
