"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Tue Dec 12 14:41:41 +0000 2023","1734584311289176258","#DebatCapres  Ganjar                                     Anies-Prabowo https://t.co/u0ytqi4CcG","67","38","729","6260","in","625448366","1734584311289176258","sitsnoe","https://twitter.com/sitsnoe/status/1734584311289176258","https://pbs.twimg.com/media/GBJ7PHja0AA1nfs.jpg",""
"Tue Dec 12 07:21:56 +0000 2023","1734473646142570766","Ide jernih dari capres kita... Semoga ALLAH SWT takdirkan Indonesia punya pemimpin/ presiden seorang Anies Baswedan... https://t.co/O1yrEkJ3zW","8","16","181","518","in","1710581142733352960","1734473646142570766","sadriwalfarouq","https://twitter.com/sadriwalfarouq/status/1734473646142570766","https://pbs.twimg.com/ext_tw_video_thumb/1734455543190945792/pu/img/ZPKmvc5stIsrOwV-.jpg",""
"Tue Dec 12 13:00:06 +0000 2023","1734558748923113617","Ini namanya perlawanan sih  langsung menghadirkan Ayah yang mencari keadilan karena anaknya dibunuh. Ga nyangka Anies seberani ini  salut! https://t.co/IYYUpJXFJs","579","683","7225","45190","in","223086304","1734558748923113617","jilulisme","https://twitter.com/jilulisme/status/1734558748923113617","https://pbs.twimg.com/media/GBJj_S1bkAARLrb.jpg","Yogyakarta, Indonesia"
"Tue Dec 12 13:32:23 +0000 2023","1734566870643286362","Moderator: Bagaimana penyelesaian pelanggaran HAM di Papua?  Prabowo: Kerahkan aparat.  Ganjar: Bagaimana kalau bangun dialog?  Prabowo: Oh iya saya setuju  bangun dialog.  Anies: Yang paling utama adalah membangun keadilan.  Prabowo: Oh iya saya setuju  membangun keadilan juga.","806","571","3397","18043","in","478829168","1734566870643286362","denismalhotra","https://twitter.com/denismalhotra/status/1734566870643286362","","Bekasi Timur, Indonesia"
"Tue Dec 12 05:35:40 +0000 2023","1734446901121135040","Perlu 14 tahun untuk berada di panggung yang sama tapi dengan posisi berbeda. Anies Baswedan moderator  Debat Pilpres di tahun 2009. #DebatPilpres2024 https://t.co/qpMg7pUsK1","57","81","932","3831","in","1068371293290946561","1734446901121135040","BosPurwa","https://twitter.com/BosPurwa/status/1734446901121135040","https://pbs.twimg.com/ext_tw_video_thumb/1734446658908495872/pu/img/rAEIgthiy7h-4sp8.jpg","Warteg"
"Tue Dec 12 13:27:07 +0000 2023","1734565545255825496","Tutur kata jelas dan tepat sasaran narasinya  yess pak Anies! 👍💯  #AMINAjaDulu https://t.co/wu7cnYvtzu","18","43","853","3006","in","719725925215170561","1734565545255825496","marlina_idha","https://twitter.com/marlina_idha/status/1734565545255825496","https://pbs.twimg.com/ext_tw_video_thumb/1734565491073777664/pu/img/Up0RRXPaoVxmKB2z.jpg","Jakarta Capital Region"
"Tue Dec 12 14:36:36 +0000 2023","1734583032303243679","Anies &amp; Prabowo 🗣️🗣️ Ganjar 😐  #DebatCapres https://t.co/kbwHcgXGS1","886","475","4851","17728","in","1388477070523572227","1734583032303243679","GuarEmperor","https://twitter.com/GuarEmperor/status/1734583032303243679","https://pbs.twimg.com/amplify_video_thumb/1734582933988802560/img/os9rl1_WR00QhAQ0.jpg","Gmeowww"
"Mon Dec 11 23:47:00 +0000 2023","1734359155652038710","Anies Baswedan Feat Gita Wirjawan Asosiasi Pengusaha Indonesia (APINDOO) https://t.co/ydQdE5iI1g","42","92","1018","1880","in","1068371293290946561","1734359155652038710","BosPurwa","https://twitter.com/BosPurwa/status/1734359155652038710","https://pbs.twimg.com/amplify_video_thumb/1734325865708994560/img/mDAypLxTK_x9w5lI.jpg","Warteg"
"Tue Dec 12 13:54:54 +0000 2023","1734572535952581037","Prabroro Digulung Pak Anies 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣  Mulain Naek Darah  Tensi Tinggi Bos  awas Stroke 😄😄😄😄😄 https://t.co/s1BrMrz0Hw","31","109","545","1673","in","1112249626726293504","1734572535952581037","NcangBeni","https://twitter.com/NcangBeni/status/1734572535952581037","https://pbs.twimg.com/ext_tw_video_thumb/1734572457015779328/pu/img/5N4mrEUamGTHrmNI.jpg","Pinggiran Betawi - Kegusur"
"Tue Dec 12 06:46:16 +0000 2023","1734464668134215835","Udah gini aja  yang ngga suka anies jangan pilih anies yang ngga suka ganjar jangan pilih ganjar yang ngga suka diculik jangan pilih prabowo","282","263","1832","6855","in","56785548","1734464668134215835","fullmoonfolks","https://twitter.com/fullmoonfolks/status/1734464668134215835","",""
"Tue Dec 12 13:27:06 +0000 2023","1734565543808495978","PS nanya soal izin tempat ibadah ke anies itu blunder banget. ini timnya gak ada yg nonton acara Debat Anies?  🤣🤣🤣🤣","112","80","502","4307","in","157604142","1734565543808495978","imrenagi","https://twitter.com/imrenagi/status/1734565543808495978","","Negara sebelah"
"Tue Dec 12 13:56:18 +0000 2023","1734572891046302059","Dibukain kartunya sama anies prabowo kepancing emosi lagi mulutnya sampe ngeledek aniess 🤣🤣🤣 #DebatCapres https://t.co/3sEwPY9bLZ","220","269","606","3637","in","1010239935910035456","1734572891046302059","IndieVduMerdeka","https://twitter.com/IndieVduMerdeka/status/1734572891046302059","https://pbs.twimg.com/ext_tw_video_thumb/1734572862726647808/pu/img/BaiMR9XIABSNIxRP.jpg",""
"Tue Dec 12 14:36:25 +0000 2023","1734582987864633687","Jawaban Anies soal IKN..   1. Negara berlaku otoriter dalam memutuskan UU IKN tanpa partisipasi publik  2. Jika ada masalah di Jakarta maka selesaikan masalahnya bukan ditinggal  3. Apa pantas membangun istana &amp; gedung mewah untuk birokrat sementara rakyat sedang susah  Silahkan… https://t.co/4OlMa2hxUh","169","559","4076","11875","in","1006827831995711488","1734582987864633687","ekowboy2","https://twitter.com/ekowboy2/status/1734582987864633687","https://pbs.twimg.com/ext_tw_video_thumb/1734581038381481984/pu/img/NdlvKEQSo59hpDD6.jpg",""
"Tue Dec 12 15:31:00 +0000 2023","1734596723203514662","Prabowo lagi2 BLUNDER  MENOLAK cipika cipiki dengan Ganjar Pranowo dan Anies Baswedan  Mungkin karena NGAMBEK dihajar terus selama debat berlangsung  Panggung debat malam ini benar2 hanya milik Ganjar dan Anies  Bukti pertarungan GAGASAN sangat menentukan kualitas isi KEPALA https://t.co/UvPtFRLXHj","11","65","229","699","in","1102461866129776640","1734596723203514662","Miduk17","https://twitter.com/Miduk17/status/1734596723203514662","https://pbs.twimg.com/ext_tw_video_thumb/1734596704102649856/pu/img/7C1G5SlyG6fVnm-e.jpg","DKI Jakarta, Indonesia"
"Tue Dec 12 12:54:54 +0000 2023","1734557437104144394","Disuruh menyampaikan visi misi  hanya Anies yang tepat  Prabowo malah orasi  sementara Ganjar lebih suka bercerita. #DebatCapres","67","47","390","2862","in","1644407646","1734557437104144394","woiabuy","https://twitter.com/woiabuy/status/1734557437104144394","",""
"Tue Dec 12 13:06:40 +0000 2023","1734560400908112281",""Banyak aturan ditekuk sesuai dengan kepentingan pemegang kekuasaan  apakah ini diteruskan? tidak  ini harus diubah ini harus dikembalikan " ~Anies Baswedan.  PilihPKS CoblosAMIN  #PKSmenangAMIN https://t.co/7WX4TCkvHr","78","16","268","668","in","22365191","1734560400908112281","PKSejahtera","https://twitter.com/PKSejahtera/status/1734560400908112281","https://pbs.twimg.com/media/GBJlfaZWQAAP2LX.jpg","TB. Simatupang No. 82, Jakarta"
"Tue Dec 12 16:39:08 +0000 2023","1734613866800402934","PENDUKUNG AMIN Tinggalkan Jejak RT LIKE KOMEN #DebatCapres #debatcapres2024 https://t.co/tMh4GKEH5n","52","332","3041","8051","in","1335552103457034240","1734613866800402934","sobat_anies","https://twitter.com/sobat_anies/status/1734613866800402934","https://pbs.twimg.com/media/GBKWHmybkAAYElk.jpg","Surakarta, Jawa Tengah"
"Tue Dec 12 15:21:25 +0000 2023","1734594311432679854","✅Pak Prabowo sedang diajari Anies tentang statistik lingkungan. Bila jumlah sumber polutan dari dalam Jakarta statis sementara polusinya berubah²  maka penjelasan Anies sangat tepat  ada faktor² sumber polutan dinamis  ✅Sumber utama polusi udara di Jakarta ternyata bukan… https://t.co/GnsOmCTSLz","69","162","1778","3396","in","1244819229578121216","1734594311432679854","Munir_Timur","https://twitter.com/Munir_Timur/status/1734594311432679854","https://pbs.twimg.com/ext_tw_video_thumb/1734593975217233920/pu/img/e-xjKm0sSOk7E5pS.jpg",""
"Tue Dec 12 13:30:22 +0000 2023","1734566364730536239","SKAKMAT!  Nanya soal rumah ibadah ke Pak Anies 🤣  #DebatCapres  #AMINTerbaikNomor1 #AMINUnggulDebatCapres https://t.co/edblZZFZlp","98","131","1944","5386","in","1334853481019056128","1734566364730536239","Mdy_Asmara1701","https://twitter.com/Mdy_Asmara1701/status/1734566364730536239","https://pbs.twimg.com/ext_tw_video_thumb/1734566241409642496/pu/img/jYWYDjgkBYAKuaQq.jpg","Jakarta Capital Region"
