"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Sun Dec 10 11:54:14 +0000 2023","1733817397361180972","Putaran 2 Prabowo-Gibran vs Anies-Muhaimin  Qodari: "... jadi dengan melihat pola yg sudah ada klo tdk 1 putaran dan ada putaran ke-2 akan berhadapan Prabowo-Gibran Lawan Anies-Muhaimin..." https://t.co/sn7j2yVeKO","7","73","64","161","in","2395238000","1733817397361180972","tijabar","https://twitter.com/tijabar/status/1733817397361180972","https://pbs.twimg.com/ext_tw_video_thumb/1733815087285276672/pu/img/_vaupkWheWJwwDZo.jpg","Bandung, Jawa Barat"
"Sun Dec 10 12:34:54 +0000 2023","1733827631467110645","Nomer Satu...  Satu putaran...  Pilih Anies...  Anies-Muhaimin....   #AniesMuhaimin2024  #AMINAjaDulu https://t.co/PMfEdLY27r","13","22","530","1698","in","1132425764622675969","1733827631467110645","BangPino__","https://twitter.com/BangPino__/status/1733827631467110645","https://pbs.twimg.com/ext_tw_video_thumb/1733827569018183680/pu/img/tzXYdBboHmyNr35b.jpg","London, England"
"Sun Dec 10 13:11:37 +0000 2023","1733836870432489910","Yakinlah Semua akan AMIN Pada Waktunya   Partai Pelita Deklarasikan Dukungan kepada Anies - Muhaimin pasangan No 1 Indonesia Adil dan Makmur untuk Semua 💞  #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/857QHOEKqI","15","177","661","1798","in","1334853481019056128","1733836870432489910","Mdy_Asmara1701","https://twitter.com/Mdy_Asmara1701/status/1733836870432489910","https://pbs.twimg.com/ext_tw_video_thumb/1733836748512432128/pu/img/JuplZYnUJL38bGM3.jpg","Jakarta Capital Region"
"Sun Dec 10 09:30:05 +0000 2023","1733781120343580956","Kita bikin polling dulu sodara2  sesuai no urut sbb: 1. Anies-Muhaimin = RT 2. Prabowo-Gibran = LIKE 3. Ganjar-Mahfud = REPLY  Gaskeun sodara2  campakkan itu hsl surpai-surpei berbyr murahan!🤣🤣🤣 https://t.co/0xNA7r4JgU","29","217","4656","471","in","105085302","1733781120343580956","bachrum_achmadi","https://twitter.com/bachrum_achmadi/status/1733781120343580956","https://pbs.twimg.com/media/GA-gvQGagAA-j65.jpg","Bekasi - Indonesia"
"Sun Dec 10 09:03:06 +0000 2023","1733774328528093530","Jangan pernah percaya hasil survei Paslon 1 Anies-Muhaimin paling rendah? Sementara fakta di lapangan selalu terbanyak warga yang hadir  tanpa bagi-bagi kaos/sembako/amplop! Warga sadar  mendukung PERUBAHAN Indonesia lebih baik  AD1L MAKMUR. #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/NpZiqhzBk2","11","42","500","1449","in","129750289","1733774328528093530","ZAEffendy","https://twitter.com/ZAEffendy/status/1733774328528093530","https://pbs.twimg.com/ext_tw_video_thumb/1733773903783411712/pu/img/VCgsNf6QFVj82khe.jpg","South East Asia"
"Sun Dec 10 08:34:31 +0000 2023","1733767134038388812","Adil Makmur Untuk Semua ! Anies Baswedan - Muhaimin Iskandar.   #AMINAjaDulu https://t.co/JGnOmnu0cY","8","14","285","783","in","1227719379103571968","1733767134038388812","sutanmangara","https://twitter.com/sutanmangara/status/1733767134038388812","https://pbs.twimg.com/media/GA-UA-bbEAApeyx.jpg","Indonesia"
"Sun Dec 10 06:48:34 +0000 2023","1733740472731082872","Ketua Yayasan Pondok Pesantren Cipasung Tasikmalaya KH Acep Adang Ruhiat menyerukan alumni Pesantren Cipasung untuk menyolidkan barisan memenangkan pasangan Anies Baswedan-Muhaimin Iskandar (AMIN) dalam Pemilu 2024. Pasangan nomor urut 1 tersebut dinilai menjadi representasi kaum… https://t.co/cVLpSGy6vI","2","6","9","34","in","55507370","1733740472731082872","tvOneNews","https://twitter.com/tvOneNews/status/1733740472731082872","https://pbs.twimg.com/media/GA97wjla8AARpXx.jpg","Pulo Gadung, Indonesia"
"Sun Dec 10 11:00:22 +0000 2023","1733803840032719100","Setengah Hati Golkar Menangkan Prabowo  Partai Golkar disebut-sebut belum sepenuh hati memenangkan Prabowo-Gibran. Ada yang merapat ke kubu Anies-Muhaimin.  Simak selengkapnya Program Bocor Alus Politik di Channel Youtube Tempodotco dan Spotify  #BocorAlusPolitik #PodcastBAP… https://t.co/849udNeNef","25","161","191","632","in","18129942","1733803840032719100","tempodotco","https://twitter.com/tempodotco/status/1733803840032719100","https://pbs.twimg.com/media/GA-1ZfIaYAAAUIu.jpg","Indonesia"
"Sun Dec 10 05:50:52 +0000 2023","1733725949496344641","📢 *Ãｍ➀ℕ* 🇮🇩  ✔️ *Si Cantik Wulan.....* Fasih banget menyampaikan *Visi dan Misi AMIN (Anies - Muhaimin)* 👍🏼😀  _AYO Viralkan agar semua rakyat memahami pula *Visi dan Misi AMIN*. Tks._ https://t.co/fQzH5CwMRh","5","9","308","618","in","1450037307826860039","1733725949496344641","QianzyZ","https://twitter.com/QianzyZ/status/1733725949496344641","https://pbs.twimg.com/ext_tw_video_thumb/1733725851823554560/pu/img/e8zxGv5Lv5IGQbGP.jpg",""
"Sun Dec 10 11:34:05 +0000 2023","1733812323847201175","Baru sebulan kahwin  wanita Gaza ini terpaksa berpisah dengan suaminya..","9","2","827","1265","in","2179498534","1733812323847201175","_muhaimin26","https://twitter.com/_muhaimin26/status/1733812323847201175","","Kuala Lumpur, Wilayah Persekut"
