"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Tue Dec 12 02:07:02 +0000 2023","1734394399424209368","AMIN (Anies-Muhaimin) Pemimpin Indonesia 2024-2029 https://t.co/j1wv6tWYKo","8","16","253","700","in","1227719379103571968","1734394399424209368","sutanmangara","https://twitter.com/sutanmangara/status/1734394399424209368","https://pbs.twimg.com/media/GBHOg8jaAAAZCcv.jpg","Indonesia"
"Mon Dec 11 23:15:27 +0000 2023","1734351218229838064","Terus mengalir dukungan terhadap pasangan No 1 Indonesia Adil dan Makmur untuk Semua 💞  Impikan perubahan  Buruh dukung  Anies Baswedan - Muhaimin Iskandar   #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/qjUtxrn1IH","6","12","292","795","in","1334853481019056128","1734351218229838064","Mdy_Asmara1701","https://twitter.com/Mdy_Asmara1701/status/1734351218229838064","https://pbs.twimg.com/ext_tw_video_thumb/1734351144863076352/pu/img/HOIS9xNoMEQkTSPt.jpg","Jakarta Capital Region"
"Tue Dec 12 05:05:57 +0000 2023","1734439421766971522","Semoga perjuangan ibu-ibu terbayarkan di 2024 🙏  Pasangan AMIN Anies - Muhaimin No 1 👍  #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/eUs8mtJzDp","14","50","595","1922","in","1334853481019056128","1734439421766971522","Mdy_Asmara1701","https://twitter.com/Mdy_Asmara1701/status/1734439421766971522","https://pbs.twimg.com/ext_tw_video_thumb/1734439381384220672/pu/img/1gcMCEXvBNcAjXCI.jpg","Jakarta Capital Region"
"Tue Dec 12 03:04:22 +0000 2023","1734408827116916912","HENSAT  KENAPA SIH NGGAK PENGEN BANGET NYEBUT JOKOWI DUKUNG NOMOR DUA...  FENOMENA DEBAT ANIES-MUHAIMIN  GANJAR-MAHFUD INI MELAWAN PASANGAN KETIGA JOKOWI....‼️  #RakyatMuakKPUCurang #RakyatMuakKPUCurang 🆘🆗 https://t.co/Q4t3bE6aYO","0","0","12","10","in","1355501823864561668","1734408827116916912","Jatayu_45back","https://twitter.com/Jatayu_45back/status/1734408827116916912","https://pbs.twimg.com/ext_tw_video_thumb/1734408782040780800/pu/img/a0q22oshg2w8k6C7.jpg","Tanah Abang, Indonesia"
"Tue Dec 12 06:48:01 +0000 2023","1734465109559558557","Tiada hari tanpa deklarasi 💪  Gen-AMIN (Generasi Anak Muda Indonesia) deklarasi mendukung pasangan AMIN no 1 Anies - Muhaimin tadi malam..  Pasangan No 1 Indonesia Adil dan Makmur untuk Semua 💞  #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/kl61DVzAw6","6","19","895","2303","in","1334853481019056128","1734465109559558557","Mdy_Asmara1701","https://twitter.com/Mdy_Asmara1701/status/1734465109559558557","https://pbs.twimg.com/ext_tw_video_thumb/1734464606507327488/pu/img/NvAYAJyO3ZV76xXc.jpg","Jakarta Capital Region"
"Tue Dec 12 12:32:49 +0000 2023","1734551879776899366","To The Point aja deh PilihPKS CoblosAMIN  Doakan agar pasangan Capres-Cawapres kita Anies Baswedan dan A Muhaimin Iskandar diberikan kelancaran dan kejernihan pikiran untuk menjawab.  AMIN  #PKSmenangAMIN https://t.co/NPMN5mJNRQ","27","20","126","315","in","22365191","1734551879776899366","PKSejahtera","https://twitter.com/PKSejahtera/status/1734551879776899366","https://pbs.twimg.com/media/GBJdveHXQAATHwX.jpg","TB. Simatupang No. 82, Jakarta"
"Tue Dec 12 03:12:27 +0000 2023","1734410859114577925","Kami Pilih AMIN ☝️  Anies &amp; Muhaimin ❤️🥰  Kalian pilih siapa? 😉🥇  #AMINAjaDulu  #AMINkanIndonesia https://t.co/zweJb6m4Iv","2","10","206","666","in","1542445660813008896","1734410859114577925","JarnasABWBpn","https://twitter.com/JarnasABWBpn/status/1734410859114577925","https://pbs.twimg.com/media/GBHde1jaYAAs1dl.jpg","Kalimantan Timur, Indonesia"
"Tue Dec 12 13:30:37 +0000 2023","1734566428651688363","Program AMIN (Anies - Muhaimin) dalam melindungi warga negara   #DebatCapres #AMINTerbaikNomor1 #AMINUnggulDebatCapres https://t.co/rVbJ30kT2n","10","4","476","329","in","1334853481019056128","1734566428651688363","Mdy_Asmara1701","https://twitter.com/Mdy_Asmara1701/status/1734566428651688363","https://pbs.twimg.com/media/GBJq-L8boAAXuq3.jpg","Jakarta Capital Region"
"Tue Dec 12 13:05:34 +0000 2023","1734560123279098192","“Moment Paslon No 1  Anies Baswedan dan Muhaimin Iskandar tiba di Gedung KPU”  Di #DebatCapres perdana ini  Capres No 1 Pak Anies Baswedan pasti paling menarik dan berbobot☝️❤ https://t.co/D5czdMXTb9","0","8","99","476","in","1406938814593916928","1734560123279098192","Dhyndha_","https://twitter.com/Dhyndha_/status/1734560123279098192","https://pbs.twimg.com/ext_tw_video_thumb/1734559836254441472/pu/img/Gz2Q4n4VOFuU3R6b.jpg","🌬 TTH"
"Tue Dec 12 13:03:42 +0000 2023","1734559653730849189","#AMINTerbaikNomor1 #AMINUnggulDebatCapres Menuju Indonesia Perubahan bersama Anis-Muhaimin AMIN 2024 https://t.co/ideY3hoHvd","0","7","11","69","in","1604464749517111299","1734559653730849189","Alfairi_Feri","https://twitter.com/Alfairi_Feri/status/1734559653730849189","https://pbs.twimg.com/ext_tw_video_thumb/1734559624341372928/pu/img/JiNb7hNaeJ5Lip9S.jpg",""
"Tue Dec 12 01:00:01 +0000 2023","1734377530952650887","Kembali lagi membahas rekam jejak prestasi  kali ini dari para calon wakil presiden.  Mulai dari Muhaimin Iskandar  Gibran Rakabuming Raka  hingga Mahfud MD yang prestasinya mungkin akan menyilaukan mata.  Siapkan kacamata hitam &amp; cek utas ini  ya!  #UtasMild #Cawapres https://t.co/QTFne8aaXG","26","22","510","2041","in","4187275698","1734377530952650887","TirtoID","https://twitter.com/TirtoID/status/1734377530952650887","https://pbs.twimg.com/media/GBG9pmAbQAAf-7y.jpg","Indonesia"
"Tue Dec 12 06:52:12 +0000 2023","1734466163554521483","Jadi pendukung AMIN 01 itu enak. Punya ide  gagasan  harapan dan cita-cita yg sangat layak utk diperjuangkan agar Indonesia menjadi lebih baik.   Perjuangan memenangkan Anies Baswedan dan Muhaimin Iskandar ini adalah perjuangan ideologis yg perlu dilakukan jika kita ingin anak…","6","21","368","1486","in","30766806","1734466163554521483","Reiza_Patters","https://twitter.com/Reiza_Patters/status/1734466163554521483","","Tomage-Fakfak, Indonesia"
"Tue Dec 12 04:29:37 +0000 2023","1734430278473666666","Warga Sumbang 100 Mobil untuk Pemenangan Anies-Muhaimin https://t.co/BTDAnMiNrQ","4","124","430","1445","in","3319260420","1734430278473666666","geloraco","https://twitter.com/geloraco/status/1734430278473666666","","Indonesia"
