created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location
2023-12-18 07:32:33+07:00,1736544948110139452,Giliran Timnas Anies-Muhaimin Minta KPU Selidiki Transaksi Mencurigakan Ratusan Miliar ke Rekening Bendahara Parpol https://t.co/AZODab8QXk,8,26,460,1033,in,30201110,1736544948110139452,alisyarief,https://twitter.com/alisyarief/status/1736544948110139452,,"-6.252543,106.806343"
2023-12-18 07:44:11+07:00,1736547873708532029,Pada Senin (18/12/2023) hari ini  Anies berkampanye di Sumatera Selatan  sementara Muhaimin di Bekasi  Jawa Barat. https://t.co/4VOOkFAPN4 merangkum jadwalnya. https://t.co/g6oCiRvp5V,0,0,2,4,in,23343960,1736547873708532029,kompascom,https://twitter.com/kompascom/status/1736547873708532029,,Jakarta
2023-12-18 07:50:12+07:00,1736549389991334102,@Fahrihamzah 2019 Rakyat Indonesia sudah menolong mereka.  Saatnya Anies Muhaimin Presiden 2024 https://t.co/6ZTS8wcdtX,0,0,0,1,in,1614649708357750787,1736539575085039978,anti_hoaks,https://twitter.com/anti_hoaks/status/1736549389991334102,https://pbs.twimg.com/media/GBl2d8ua0AAISoh.jpg,
2023-12-18 07:50:20+07:00,1736549422295847303,"Kentongan 57 adalah gerakan rakyat untuk perubahan.  57% adalah target kemenangan Anies Muhaimin AMIN  Dengan mengucap Bismillah  gerakan 57 kentongan pertama kali diresmikan di Kalimantan Timur.""  #GemoyHausKekuasaan  #GemoyHausKekuasaan https://t.co/vYQmWev187""",9,14,526,1256,in,1647311678160384007,1736549422295847303,MichelAdam7__,https://twitter.com/MichelAdam7__/status/1736549422295847303,https://pbs.twimg.com/ext_tw_video_thumb/1736549389513211904/pu/img/dOehlwuaF6tM5-eE.jpg,
2023-12-18 08:32:16+07:00,1736559975047282848,Unsur keadilan wajib dimasukkan di dalam setiap pengambilan kebijakan  agar bisa dirasakan manfaatnya oleh semua kalangan  termasuk kalangan anak muda.  #AMINajaDulu https://t.co/mMm8vwO4Qm,14,64,623,1857,in,1490116879,1736559975047282848,cakimiNOW,https://twitter.com/cakimiNOW/status/1736559975047282848,https://pbs.twimg.com/amplify_video_thumb/1736559789646475264/img/594oDk8PtEv456tT.jpg,Indonesia
2023-12-18 08:41:02+07:00,1736562180286451928,@VIVAcoid kami sekeluarga sudah pasti pilih pasangan AMIN. Anies Baswedan presiden Muhaimin Iskandar wapres Rakyat makmur Indonesia jaya https://t.co/U8IeK4hbeO,0,3,13,132,in,1692179639660412928,1736307631332233556,hendrsunndr,https://twitter.com/hendrsunndr/status/1736562180286451928,https://pbs.twimg.com/media/GBmCGWSaUAALiLt.jpg,Sukabumi 
2023-12-18 08:49:38+07:00,1736564345092665849,"DUKUNGAN KE AMIN DARI SEGALA LINI  RAKYAT CERDAS INGINKAN PERUBAHAN....  POROS BURUH DI RIAU DEKLARASIKAN DUKUNGAN KE AMIN"" ANIES-MUHAIMIN DI PILPRES 2024....‼️  #GemoyHausKekuasaan #GemoyHausKekuasaan 🆘🆗 https://t.co/uGGhoTx9MV""",11,11,334,769,in,1679184284098367489,1736564345092665849,P3n99u94t_,https://twitter.com/P3n99u94t_/status/1736564345092665849,https://pbs.twimg.com/ext_tw_video_thumb/1736564220274335744/pu/img/pQA1ZRyMoOcu_CQG.jpg,
2023-12-18 09:00:01+07:00,1736566957128757447,Keliling Sumut  Anggota DPD RI: Dukungan Masyarakat ke Anies-Muhaimin Sangat Kuat https://t.co/0RVdOEab9Q,0,0,8,28,in,1443801854756880385,1736566957128757447,kba_news,https://twitter.com/kba_news/status/1736566957128757447,,
2023-12-18 09:08:28+07:00,1736569083372695784,Keliling Sumut  Anggota DPD RI: Dukungan Masyarakat ke Anies-Muhaimin Sangat Kuat https://t.co/HOdDmhMQ8B  #GemoyHausKekuasaan  #GemoyHausKekuasaan,0,0,18,20,in,1629530059265703938,1736569083372695784,Srik4ndiMuslim2,https://twitter.com/Srik4ndiMuslim2/status/1736569083372695784,,
2023-12-18 09:10:02+07:00,1736569478186709020,Semakin Hari Semakin Terlihat Sangat SE Visi &amp; Misi    Tentu Menjadikan Relawan &amp; Simpatisan Makin Semangat Berjuang Membersamai Anies Muhaimin ( AMIN )  #AniesMuhaimin2024  https://t.co/lE0Ofyvoty,0,1,2,9,in,1580531078280146944,1736569478186709020,msw_andi,https://twitter.com/msw_andi/status/1736569478186709020,,"Jawa Tengah, Indonesia"
2023-12-18 09:11:10+07:00,1736569765517205901,#WakandaNoMoreIndonesiaForever  #AMINAjaDulu   Anies Baswedan - Muhaimin Iskandar 🥰💗🇮🇩 https://t.co/Eo1tml3dLf,0,1,3,4,in,1678002012380872705,1736569765517205901,DadangRusdi,https://twitter.com/DadangRusdi/status/1736569765517205901,https://pbs.twimg.com/media/GBmI_4vWYAE-uun.jpg,
