created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,keyword
2023-12-21 00:01:36+07:00,1737518623865151652,Ngeri Mendengar Penjelasan AGUM GUMELAR INI 😡😡😡  Apalagi Amerika  Inggris  Australia. No Buat @prabowo   Bagaimana Hubungan Luar Negri Indonesia Kedepan ?  Ini Fakta Bukan Black Campaign https://t.co/3eQnX0olnC,38,48,725,1183,in,1269807484174123008,1737518623865151652,ZulkifliLubis69,https://twitter.com/ZulkifliLubis69/status/1737518623865151652,https://pbs.twimg.com/ext_tw_video_thumb/1737518440599162880/pu/img/2xvehOlMHBQRhmIU.jpg,,Pres
2023-12-21 00:02:26+07:00,1737518835299946784,Jangan lupakan ini ya kawan-kawan para pendukung Prabowo dlm sejarah pilpres 2019 dulu.  Lelah yang di bayar kecewa. Kekecewaan itulah yang dirasakan para pendukung nya saat mengetahui Prabowo menyeberang ke koalisi Jokowi. Skrg masih mau mendukung Prabowo ? Kapok tidak ? https://t.co/Tso68X16xz,4,13,151,217,in,1476222115158183937,1737518835299946784,putrisakera,https://twitter.com/putrisakera/status/1737518835299946784,https://pbs.twimg.com/media/GBzoKoeboAEbqZj.jpg,,Pres
2023-12-21 00:11:09+07:00,1737521028610629962,Prabowo saat ditanyakan di acara Najwa tentang UU ITE  Jawaban gak ketinggalan kata² intinya ....! Sok tau ....! Padahal emang gak faham pora2 lebih faham ...! Ampun dah...! Kok militan gak bisa menilai..! https://t.co/OlhqIOTYKH,0,0,2,5,in,1129672753651388416,1737521028610629962,H4T14K4LN4L42,https://twitter.com/H4T14K4LN4L42/status/1737521028610629962,https://pbs.twimg.com/ext_tw_video_thumb/1737520948809801732/pu/img/PLxlJ_vRMNyPLfTG.jpg,,Pres
2023-12-21 00:13:08+07:00,1737521528181596208,Blunder Asam Sulfat hingga 'Ndasmu Etik' Berpotensi Turunkan Elektabilitas Prabowo-Gibran https://t.co/lMd7JQ2BnY,8,128,133,338,in,3319260420,1737521528181596208,geloraco,https://twitter.com/geloraco/status/1737521528181596208,,Indonesia,Pres
2023-12-21 00:13:30+07:00,1737521621689410001,Kalau gus Miftah ini Tokoh agama mestinya Rasulullah jadi panutannya.  Kalau Rasulullah panutannya ya meski difitnah santai2 aja  nggak usa ngamukan. Apalagi sampe mau lapor polisi.  Tapi klu bukan Rasulullah panutannya mungkin Prabowo panutannya. Makanya ngamukan. Muehehehe ..😆 https://t.co/VtvnIT4at4,14,117,177,556,in,1128649413633560577,1737521621689410001,HusinShihab,https://twitter.com/HusinShihab/status/1737521621689410001,https://pbs.twimg.com/media/GBzqtApboAEK2xF.jpg,"Jakarta Selatan, DKI Jakarta",Pres
2023-12-21 00:23:56+07:00,1737524246359023894,Clear ya... Sangat jelas.  Prabowo Tidak akan meminta dukungan dari Ulama/kyai dan Santri.  Berbeda dengan #GanjarMahfud yang terus menerima dukungan kyai dan para santri🤟  cc:  @999Iyut  @Widya_Makmur11 @BrammaKumbara_ dkk https://t.co/QFetPYAMaS,0,3,10,18,in,1591515901936869376,1737524246359023894,Bram_AbuBakar,https://twitter.com/Bram_AbuBakar/status/1737524246359023894,https://pbs.twimg.com/ext_tw_video_thumb/1737524190419591170/pu/img/lT8MGNe55v_VDOA5.jpg,on earth,Pres
2023-12-21 00:26:51+07:00,1737524981276582238,"Patut Diduga Kekalahan Hattrick @prabowo di Pilpres 2024 Sudah GAME OVER"" Lebih Awal Akibat Ulah ""Ketiga Tokoh Kunci dari Nomor 2"":  (1) @prabowo:""NDASMU ETIK""   (2) @ZUL_Hasan: ""PENISTAAN AGAMA"" &amp; (3) SAMSUL : ""HOPELESS"". https://t.co/MsaFFcDfOG""",1,1,9,18,in,1431351756823224321,1737524981276582238,ProfylHenuk,https://twitter.com/ProfylHenuk/status/1737524981276582238,https://pbs.twimg.com/media/GBztwx-akAAMgEI.jpg,Jakarta Capital Region,Pres
2023-12-21 00:36:36+07:00,1737527435418378753,Prabowo-Gibran siap jadikan IKN dan Papua sentra digitalisasi https://t.co/D1F3beBJXA,1,1,0,2,in,18071520,1737527435418378753,antaranews,https://twitter.com/antaranews/status/1737527435418378753,,NKRI,Pres
2023-12-21 00:39:53+07:00,1737528261641740758,@YanHarahap alaahh bacoot ajg https://t.co/LsmSKgvuoo,0,0,0,0,in,1409926783735013376,1737409819760619756,takadaotake2,https://twitter.com/takadaotake2/status/1737528261641740758,,"DKI Jakarta, Indonesia",Pres
2023-12-21 00:40:51+07:00,1737528504898789581,@kangdede78 @aniesbaswedan UAS dan anies mengingatkan jangan tasyahud 2 jari krn itu sesat tp 1 jari dan usai membaca al fatihah makmum wajib jawab aamiin  kalau si zulhas malah bilang tasyahud 2 jari dan tidak jawab aamiin krn cinta pada prabowo. sholat itu krn cinta Allah bukan krn cinta prabowo,1,13,6,73,in,1698457945913085952,1737342092807188737,PrintingZo89421,https://twitter.com/PrintingZo89421/status/1737528504898789581,,,Pres
