created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,keyword
2023-12-27 05:11:41+07:00,1739770986830934122,Kai! Innalillahi wa inna ilaihir rajiun! Allahu Akbar! Allah Ya jikan dukka waenda suka rigamu  Allah Yasa mu gama da duniya lafiya!,6,1,19,8,in,280497520,1739770986830934122,Maaryam_Ado,https://twitter.com/Maaryam_Ado/status/1739770986830934122,,Nigeria,Wapres
2023-12-27 05:17:37+07:00,1739772479240093701,@Fahrihamzah Kami yakin untuk kemenangan GAMA 03 https://t.co/3rNcvyVcgM,0,0,0,1,in,1659850805074333696,1739648064787513599,yoyo43736992791,https://twitter.com/yoyo43736992791/status/1739772479240093701,https://pbs.twimg.com/media/GCTp2Kaa0AAUzSl.jpg,"Kramat Jati, Indonesia",Wapres
2023-12-27 05:34:20+07:00,1739776686554497261,Allah sa mu gama da duniya lafiya,1,8,9,38,in,354944554,1739776686554497261,MadeNigga,https://twitter.com/MadeNigga/status/1739776686554497261,,Lafia. ,Wapres
2023-12-27 06:00:27+07:00,1739783260152995913,TARBIYA TANA SAMUWA DAGA GIDA  Haka itama girmama manya Yana samuwa daga gida   Allah yasa a gama da duniya Lafiya Hon. @B_ELRUFAI Ameen Alfarmar Manzon Allah S.a.w ♥️♥️♥️🙏🙏 https://t.co/KBcR6QzsVw,1,3,7,29,in,1096063645539287043,1739783260152995913,abdullahiyaro15,https://twitter.com/abdullahiyaro15/status/1739783260152995913,https://pbs.twimg.com/media/GCTzIpjWAAAdzQ4.jpg,"Kaduna, Nigeria",Wapres
2023-12-27 06:45:31+07:00,1739794600376574057,Mutuwa Akwai zafi …. Oh Allah … Allah ya jikan w’enda suka riga mu. Allah ya jikan mu ya sa mu gama da duniya lafiya Ameen.,9,3,196,190,in,3221064471,1739794600376574057,hadeeezah_g,https://twitter.com/hadeeezah_g/status/1739794600376574057,,,Wapres
2023-12-27 06:45:59+07:00,1739794719797117252,@Dennysiregar7 @oktarayya Program terakhir sebelum lengser https://t.co/IRjrfJvqFn,3,11,15,100,in,1491269717482676230,1739579410788040852,fuadnoer12,https://twitter.com/fuadnoer12/status/1739794719797117252,https://pbs.twimg.com/media/GCT-ElpbcAAD1Eu.jpg,,Wapres
2023-12-27 08:16:01+07:00,1739817376236114028,@Fahrihamzah Pantesan.....  Cangkeme ngalah2in Toa....  Ah... Suuu... https://t.co/8qLxXYvgi4,0,0,0,0,in,1713915119238033408,1739648897851818399,Diambknpilihan,https://twitter.com/Diambknpilihan/status/1739817376236114028,https://pbs.twimg.com/media/GCUSqIVa8AALWA4.jpg,,Wapres
2023-12-27 08:49:51+07:00,1739825889695916532,SUKOHARJO...❓❓❓ Yaa...SI RAMBUT PUTIHLAH.... Sukoharjo Ganjar - Mahfud tetap di HATI... Takkan berpaling pada yg lain.... 🤟🤟🤟✅ https://t.co/0NCI5mZoWK,1,2,8,30,in,1605181161499947009,1739825889695916532,AlfatihDhany,https://twitter.com/AlfatihDhany/status/1739825889695916532,https://pbs.twimg.com/ext_tw_video_thumb/1739825859954196480/pu/img/7z33fEwqnlzcPd2S.jpg,,Akronim
2023-12-27 09:04:56+07:00,1739829688946897366,02 kacungnya teriak mau 1 putaran  karena mereka tau 2 putaran pasti kalah.  03 yg di prediksi oleh 02 kalah duluan  yg keliatan malah berpotensi menang 1 putaran.  GAMA pasti menang,0,3,3,6,in,995291612245733376,1739829688946897366,SavePapua01,https://twitter.com/SavePapua01/status/1739829688946897366,,,Wapres
2023-12-27 09:20:25+07:00,1739833585434280155,Tetap banyakkkk 😁 Masy antusias menyambut Pak @ganjarpranowo.  Lebih semangat saat mereka mendengar program pengentasan kemiskinan (( satu keluarga miskin satu sarjana )). Harapan memiliki kehidupan lbh baik dipimpin Pak Ganjar Mahfud. 🤩🤟  Lap Cangkol Desa Mojolaban Sukoharjo https://t.co/KUNmsJGmGM,2,8,71,234,in,2669430458,1739833585434280155,Jelli_cent,https://twitter.com/Jelli_cent/status/1739833585434280155,https://pbs.twimg.com/ext_tw_video_thumb/1739833469910634496/pu/img/tBPrZL-YG0asNqwK.jpg,,Akronim
2023-12-27 09:36:59+07:00,1739837753024819450,Regulasi Carbon Capture  Aneh sih bila Prof Mahfud terlihat kelabakan atau mungkin Prof Mahfud lupa karena sibuk kampanye bukan kah masalah CCS sudah di atur dalam Permen No 2 Tahun 2023 dan saat ini sedang di susun Perpresnya? Masa sih Menteri Koordinator Bidang Politik  Hukum …,0,1,24,23,in,1491987094440329216,1739835620372177374,Majapahit_jaya,https://twitter.com/Majapahit_jaya/status/1739837753024819450,,,Akronim
2023-12-27 09:42:32+07:00,1739839151175065601,Ganjar-Mahfud untuk menciptakan Indonesia unggul  dimana sektor pendidikan yang merata  inklusif  dan sesuai dengan permintaan pasar kerja diharapkan dapat mengantarkan Indonesia pada visi Indonesia Emas  2045.  #SahabatGanjar  #ganjarmahfudsatset https://t.co/c2U7iLuZjK,0,0,11,11,in,1432738215824277505,1739839151175065601,n3wbie__,https://twitter.com/n3wbie__/status/1739839151175065601,https://pbs.twimg.com/ext_tw_video_thumb/1739839051321208832/pu/img/5FmQZdvozXCWaTZ-.jpg,,Akronim
2023-12-27 09:48:56+07:00,1739840759078293626,Ini Survei Luar negeri yes..😉  Tuh hasilnya Pak Ganjar Pranowo 38%  Prabroro 30%  Abas 25%.  Mantap 👍🏻 Gass Terus Untuk Ganjar Mahfud✊🏻  https://t.co/1VYEmoV3gc https://t.co/GjfpM7Y8rU,3,3,22,37,in,1092968340,1739840759078293626,RenaHoston178,https://twitter.com/RenaHoston178/status/1739840759078293626,https://pbs.twimg.com/media/GCUn8zcasAAgnMp.jpg,"Minahasa Utara, Sulawesi Utara",Akronim
2023-12-27 09:52:52+07:00,1739841751366681016,lewat ga?,0,25,0,1,in,781191816246800384,1739841751366681016,scuvse,https://twitter.com/scuvse/status/1739841751366681016,,,Wapres
2023-12-27 09:53:37+07:00,1739841940584357903,Yg belum kenal sini kenalin Cawapres No. 3 Prof Mahfud MD yg dinobatkan Cawapres Paling Berkualitas.  Buat Negara Pilih Yg pasti² aja lah 😉  Ganjar Mahfud M3nang Menang M3NANG https://t.co/Y0A6DyleDh,2,7,37,59,in,1092968340,1739841940584357903,RenaHoston178,https://twitter.com/RenaHoston178/status/1739841940584357903,https://pbs.twimg.com/media/GCUpBlwaUAAGAt5.jpg,"Minahasa Utara, Sulawesi Utara",Akronim
2023-12-27 09:55:36+07:00,1739842439526101209,@k1mwia nitip  gua penasaran pen ntn,0,2,0,0,in,781191816246800384,1739837509629247519,scuvse,https://twitter.com/scuvse/status/1739842439526101209,,,Wapres
2023-12-27 09:58:54+07:00,1739843269545382283,Kita Butuh Pemimpin yg mengedepankan Rakyatnya. Kita butuh Pemimpin Yang menjadikan Rakyatnya sebagai Tuan.  21 Program Ganjar Mahfud Bukti Pasangan no urut 3 Bersama  Rakyatnya 😍  Ganjar Mahfud YES ✊🏼 https://t.co/PF1CobagaI,2,2,27,40,in,1092968340,1739843269545382283,RenaHoston178,https://twitter.com/RenaHoston178/status/1739843269545382283,https://pbs.twimg.com/media/GCUqO7paEAAEL3a.jpg,"Minahasa Utara, Sulawesi Utara",Akronim
2023-12-27 10:09:49+07:00,1739846016378298621,mamahnya mana yaa…? ini 2 bocilnya ketinggalan    https://t.co/TfrYVwcl9l,4,0,32,355,in,1691375991678230529,1739846016378298621,mahaeterus,https://twitter.com/mahaeterus/status/1739846016378298621,https://pbs.twimg.com/media/GCUsuj2aAAAUeab.jpg,RPS MARKHYUCK ,Wapres
2023-12-27 10:10:41+07:00,1739846233408295112,GANJAR PRANOWO KEOK ❓❓  SIMAK PENYEBABNYA... 💥 Ra Bahaya Ta....#GusArya. 🤭  Buat Pendukung Ganjar tetap semangat   Tetap suarakan terus Prestasi Ganjar. Insya Allah...  Ganjar Mahfud M3nang 🤟  (Video 1) https://t.co/J0aURcX7JU,16,98,237,626,in,1556789140435324929,1739846233408295112,Kanjeng2022,https://twitter.com/Kanjeng2022/status/1739846233408295112,https://pbs.twimg.com/ext_tw_video_thumb/1739846189611401216/pu/img/mUaR3hSFcwsga150.jpg,"Bumi Agung, Indonesia",Akronim
2023-12-27 10:14:24+07:00,1739847166754197677,@ariefrasyad Up 21 program unggulan Ganjar Mahfud.🇲🇨🇲🇨👍👍 https://t.co/lQgoM3sNmy,0,3,1,7,in,2369063677,1739671623089930616,ajdtaw,https://twitter.com/ajdtaw/status/1739847166754197677,https://pbs.twimg.com/media/GCUtxL-bgAElzN8.jpg,,Akronim
2023-12-27 10:19:33+07:00,1739848465226891699,Gibran dan Mahfud MD Perdebatkan Carbon Capture and Storage  Greenpeace: Tidak Efektif Tangkal Emisi https://t.co/tGtbiPhyFH #TempoTekno,1,104,102,146,in,18129942,1739848465226891699,tempodotco,https://twitter.com/tempodotco/status/1739848465226891699,,Indonesia,Akronim
2023-12-27 10:19:45+07:00,1739848513507537189,Ganjar Pranowo  merespons kampanye hitam yg  menyebutkan paslon Ganjar-Mahfud akan menghapus program bantuan sosial (bansos). Menurut Ganjar  rumor itu tdk benar dan hanya gimik yg  sengaja dibuat pihak tdk bertanggungjawab untuk menakut-nakuti masyarakat.  #GanjarMahfud2024 https://t.co/Y8Ij4mr8aZ,0,0,3,3,in,1375648620255453185,1739848513507537189,maryati_24,https://twitter.com/maryati_24/status/1739848513507537189,https://pbs.twimg.com/media/GCUu_cwaoAA3J0a.jpg,"Tangerang, Indonesia",Akronim
