created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,keyword,date
2023-12-06 23:55:44+07:00,1732443718722986258,@the_iqmah Amin o.,0,1,0,1,en,1237908937,1732442578102939944,Muleeqah,https://twitter.com/Muleeqah/status/1732443718722986258,,"Abeokuta, Nigeria",Akronim,2023-12-06
2023-12-16 00:43:55+07:00,1735717337322356985,Pavi Fort Concludes Groundbreaking Traffic Light Installation Project  https://t.co/BvWOzwEKy2 @TheCalabashNew1 @PresidentBio @sierraeyesalone @LeoneIssues @Salonemessenger @Sierraloaded #Sierra Leone,0,0,0,5,en,2513377009,1735717337322356985,AminKef,https://twitter.com/AminKef/status/1735717337322356985,,Sierra Leone,Akronim,2023-12-16
2023-12-19 20:24:55+07:00,1737101708663361626,Calon presiden dan calon wakil presiden nomor urut 1 Anies Baswedan dan Muhaimin Iskandar menandatangani pakta integritas Ijtima Ulama.  Tonton deh apa kata peneliti soal ini. | Narasi Daily https://t.co/3ROxhZMmWk,1,4,12,45,in,1158355819512991747,1737101708663361626,NarasiNewsroom,https://twitter.com/NarasiNewsroom/status/1737101708663361626,https://pbs.twimg.com/amplify_video_thumb/1737101169951223808/img/yCWIMjkkwGSWJ9lo.jpg,,Wapres,2023-12-19
2023-12-13 13:05:13+07:00,1734816726028886206,Banyak Undang-undang Kontroversial  Anies: Imbas Hilang Sosok Oposisi  Konsep Demokratis di Indonesia Luntur https://t.co/BGG4JBB5QA,0,2,1,7,in,55507370,1734816726028886206,tvOneNews,https://twitter.com/tvOneNews/status/1734816726028886206,,"Pulo Gadung, Indonesia",Pres,2023-12-13
2023-12-17 18:29:46+07:00,1736347951860007059,⭐ Promoter's ⭐ #PTI_Followers @Zia1O @PT1IF @m1hr1 @1fzall @_paro1 @Arif1q @Ghz79 @1s__3s @1_QRaa @nusrt_1 @Pk50K @Pti_027 @adl884 @N_az24 @D3G39 @Qs3488 @Ozlerntr @M_Ar37 @IR09741 @IamBKJ @Mone_fb @Smr_pak1 @rana_g12 @samijan_1 @Asif22445 @SadiaSa55 @shayezakhan @AhemedCaptain https://t.co/3n6LFatYCn,0,93,116,136,en,1328889150569910276,1736347951860007059,AminChaudhry12,https://twitter.com/AminChaudhry12/status/1736347951860007059,https://pbs.twimg.com/media/GBi_QlFWMAAE1p-.jpg,,Akronim,2023-12-17
2023-12-16 07:38:40+07:00,1735821710874821107,Yea I read https://t.co/I6DrN88UdG,1,11,6,125,en,3006867682,1735821710874821107,SweetBeanAmin,https://twitter.com/SweetBeanAmin/status/1735821710874821107,https://pbs.twimg.com/media/GBbgpezacAA01Oy.jpg,"Burbank, CA",Akronim,2023-12-16
2023-12-19 10:10:04+07:00,1736946975965409323,Debat calon wakil presiden 2024 akan dilaksanakan pada 22 Desember 2023 di Jakarta Convention Center (JCC). Muhaimin Iskandar  Gibran Rakabuming Raka  dan Mahfud MD akan adu gagasan dalam sektor ekonomi (ekonomi kerakyatan dan ekonomi digital)  keuangan  investasi pajak … https://t.co/B50mFCNLdE,17,0,21,69,in,1162545299614662656,1736946975965409323,catchmeupid,https://twitter.com/catchmeupid/status/1736946975965409323,https://pbs.twimg.com/media/GBrgD8hbYAA_aNv.jpg,,Wapres,2023-12-19
2023-12-13 10:30:34+07:00,1734777806968791539,@CNNIndonesia Pak Anies itu hanya mengingatkan apa yg diucapkan pak Prabowo https://t.co/bwxa1CyLxC,1,0,5,89,in,3321258420,1734743794942460129,25054af33038475,https://twitter.com/25054af33038475/status/1734777806968791539,https://pbs.twimg.com/media/GBMrON-aMAAJPVu.jpg,,Pres,2023-12-13
2023-12-29 21:06:51+07:00,1740736140746031276,231228 Anies Baswedan VLIVE UPDATE [RECORD Perjalanan pulang] part 1  👨‍🏫 : 2222 oh dukung 2 33333 oh dukung 3 ya good 1 yaaa  Tdi malam uri anieseu tetap membaca komentar yang menyebut grup lain  tolong buat fandom lain jngn salpak ya harus saling menghargai  #ABupdate #ABlifeu,323,89,1229,5451,in,3947151920,1740736140746031276,imgreyzyx,https://twitter.com/imgreyzyx/status/1740736140746031276,,,Pres,2023-12-29
2023-12-23 17:30:30+07:00,1738507365216055503,@Kimberley_2024 Proud of u Mr. Anies ... 👍👍👍 https://t.co/bPaGJLnU6E,0,0,0,0,en,1505797400115712001,1738305189092929759,BhuanaBhayu,https://twitter.com/BhuanaBhayu/status/1738507365216055503,https://pbs.twimg.com/ext_tw_video_thumb/1738507250011082752/pu/img/jmq8YF6PYT948PZi.jpg,anywhere,Pres,2023-12-23
2023-12-28 11:34:20+07:00,1740229671219089434,Baekseung  Yewang &amp; Amin Goodbye  My First Love fancam https://t.co/dW4nDZaG13,0,0,0,14,en,1530330310780633091,1740229671219089434,epexfiIes,https://twitter.com/epexfiIes/status/1740229671219089434,https://pbs.twimg.com/amplify_video_thumb/1740228637981364224/img/qgU1rAVCP8PH8OZc.jpg,One admin | 22,Akronim,2023-12-28
2023-12-11 16:01:00+07:00,1734136189182239049,ナナチとなれはてーず✒️😚 #メイドインアビス https://t.co/JiEiKuTCBt,0,2,54,434,ja,541672603,1734136189182239049,310732,https://twitter.com/310732/status/1734136189182239049,https://pbs.twimg.com/media/GBDjq8pbcAAh0f8.jpg,おっ●いプルンプルン ,Akronim,2023-12-11
2023-12-08 14:04:42+07:00,1733019757828575331,@memelord_666666 Jadi  gini ya guys. Keduanya ttap sama-sama dibutuhkan  baik utk angkut barang/orang. Lagian anies juga cuma bilang  lebih memilih mengembangkan KA dibanding bangun tol. Dia gak ada bilang  menyetop pembangunan tol.,0,5,0,0,in,1226551043606990848,1732977633682661870,emer_pahlevi,https://twitter.com/emer_pahlevi/status/1733019757828575331,,,Pres,2023-12-08
2023-12-22 09:20:44+07:00,1738021724258476508,Bang Hasan Nasbi keren banget ✌️✌️. Bang  Nasbi pokok nya hanya anies yg boleh  candaan apa Aja 🤭🤭 https://t.co/ho5JBU38ai,5,66,49,88,in,1695192728173187072,1738021724258476508,drReUtari08,https://twitter.com/drReUtari08/status/1738021724258476508,https://pbs.twimg.com/ext_tw_video_thumb/1738021634907275264/pu/img/w5P5rvAJGHL0SQjI.jpg,,Pres,2023-12-22
2023-12-27 00:17:49+07:00,1739697033387405720,Sisi lain Desak Anies: Antrian  Meja korban desakan  Sape khas Kalimantan  oh Young Soo (Squid Game) https://t.co/Fa37rWF0ap,25,44,384,1560,in,44319683,1739697033387405720,SamiUsamah,https://twitter.com/SamiUsamah/status/1739697033387405720,https://pbs.twimg.com/ext_tw_video_thumb/1739696945726373888/pu/img/SFMFwIQit8cDCVJq.jpg,Jakarta kampung kite,Pres,2023-12-27
2023-12-16 17:41:41+07:00,1735973464815653036,بچه‌ها اینجارو ببینین https://t.co/b6T66xzjJ5,66,163,29,2549,fa,1261710593171558400,1735973464815653036,aminthegrayy,https://twitter.com/aminthegrayy/status/1735973464815653036,https://pbs.twimg.com/ext_tw_video_thumb/1735973415440302080/pu/img/4mBBaoHSLqrmD0od.jpg,Italy,Akronim,2023-12-16
2023-12-12 19:58:34+07:00,1734558363185496244,Ayo    jangan ragu untuk memberikan dukungan pada pemimpin yang memiliki komitmen   nyata pada kemajuan Indonesia. Coblos untuk   Anies-Muhaimin!  #PKSmenangAMIN  PilihPKS CoblosAMIN,0,0,0,1,in,1698952161240203264,1734558363185496244,vaniaainddddd,https://twitter.com/vaniaainddddd/status/1734558363185496244,,,Wapres,2023-12-12
2023-12-22 14:06:17+07:00,1738093582890987644,Kekuatan Kita Ada Pada Semangat. Bukan Jadi Buzzer Bayaran Yang Menggadaikan Prinsip. #CakIminMenangDebat Trendingkan Yukk..✊ https://t.co/VPvsTB20TW,10,17,245,611,in,1335552103457034240,1738093582890987644,SOBAT_ANIES,https://twitter.com/SOBAT_ANIES/status/1738093582890987644,https://pbs.twimg.com/media/GB7y5vpawAAO-9-.jpg,"Surakarta, Jawa Tengah",Pres,2023-12-22
2023-12-16 20:26:41+07:00,1736014989704691973,𝟐𝟑𝟏𝟐𝟏𝟔  이펙스 졸업못시킨당ㅠㅠ  #이펙스 #EPEX #아민 #AMIN #조민우  #사랑이_술술_나오네 https://t.co/hxfeP60WxN,3,0,40,127,ko,1364745792112762884,1736014989704691973,alcohol0522,https://twitter.com/alcohol0522/status/1736014989704691973,https://pbs.twimg.com/media/GBeQaxrb0AA5E-0.jpg,,Akronim,2023-12-16
2023-12-26 16:16:37+07:00,1739575936063017092,@DPP_PKB @cakimiNOW Anies-Muhaimin Presiden 2024👍🫡,0,0,0,0,en,1726210375291641856,1738475947102458172,AnggaMozs_,https://twitter.com/AnggaMozs_/status/1739575936063017092,,,Wapres,2023-12-26
2023-12-27 18:38:57+07:00,1739974143486169520,Keluarga besar HMI Deklarasi dukungan untuk Anies Baswedan dan Muhaimin Iskandar. Adapun deklarasi ini diinisiasi 11 tokoh alumni HMI. #Anies #AniesMuhaimin2024 #AMIN1 https://t.co/oDgPt7MKLY,0,0,4,14,in,977751401051799552,1739974143486169520,kebijakananies,https://twitter.com/kebijakananies/status/1739974143486169520,https://pbs.twimg.com/ext_tw_video_thumb/1739973985570553856/pu/img/XxHpDiBIlsCh3srF.jpg,"Jakarta Selatan, DKI Jakarta",Wapres,2023-12-27
2023-12-26 13:17:08+07:00,1739530767695544789,Kenapa Prabowo tidak mau jadikan Muhaimin dan Mahfud wakilnya  walau mereka terus berupaya? Kenapa malah jadikan Gibran?   Kenapa Gibran tidak mau menerima tawaran Ganjar dan Anies sebagai calon wakil Presiden  walau mereka terus berupaya? Kenapa malah menerima tawaran Prabowo?…,78,990,56,364,in,1447610310529982467,1739530767695544789,TeddGus,https://twitter.com/TeddGus/status/1739530767695544789,,,Wapres,2023-12-26
2023-12-28 11:21:48+07:00,1740226519493161294,Anies bicara peran koperasi lebih dari sekadar simpan pinjam   https://t.co/kuiw9aOqyL,21,209,1194,1933,in,1068371293290946561,1740226519493161294,BosPurwa,https://twitter.com/BosPurwa/status/1740226519493161294,https://pbs.twimg.com/amplify_video_thumb/1740224341709815808/img/Vy9Fnln85UQ65qSi.jpg,Warteg,Pres,2023-12-28
2023-12-05 05:33:55+07:00,1731804048008089682,Sobat Anies DPD Sidoarjo  DPC Tarik  semalam bergerak memasang Baliho dan banner AMIN.  Sobat Anies siap memenangkan Pak Anies dan Cak Imin.  #SobatAnies #AMINAjaDulu https://t.co/zvSgaHzjK0,3,6,127,326,in,1417489643759710208,1731804048008089682,MissKoral,https://twitter.com/MissKoral/status/1731804048008089682,https://pbs.twimg.com/ext_tw_video_thumb/1731803761881059328/pu/img/Gx_AB8omxmizLE2A.jpg,"Yogyakarta, Indonesia",Pres,2023-12-05
2023-12-20 13:53:50+07:00,1737365675814080997,Denger-Denger Katanya Pasca JK Menyatakan Dukungan Resmi Terhadap ANIES  Para Pengusaha Asal Partai Golkar Bersiap Akan Ikut Merapat  Karena ANIES dianggap Lebih Realistis Bisa Membangkitkan Sektor Ekonomi dan Sektor Usaha Lainnya Pasca Terpilihnya Pemimpin Baru.,25,92,1221,4117,in,2905814730,1737365675814080997,abu_waras,https://twitter.com/abu_waras/status/1737365675814080997,,"Bima Sakti, Bumi, Indonesia",Pres,2023-12-20
2023-12-22 23:18:37+07:00,1738232584860217781,Anies Singgung Kualitas Pertanyaan Gibran di Debat Cawapres: yang Dibutuhkan Aspek Substantif https://t.co/9Ad2D1egji,7,40,152,684,in,71436318,1738232584860217781,KompasTV,https://twitter.com/KompasTV/status/1738232584860217781,,Indonesia,Pres,2023-12-22
2023-12-15 15:42:33+07:00,1735581097139036247,Perempuan aman dari kekerasan dan makin maju berkarya! Perempuan banyak mendaptakn perhatian dalam VISI MISI AMIN untuk Indonesia kedepannya! Jadi yaa wajar aja banyak emak-emak yang dukung Mas @aniesbaswedan dan Gus @cakiminow jadi Presiden😍   #aminajadulu https://t.co/8N0I9SdZtq,5,15,214,423,in,68089986,1735581097139036247,voiceofpkb,https://twitter.com/voiceofpkb/status/1735581097139036247,https://pbs.twimg.com/media/GBYFzgYbkAAb855.jpg,Indonesia,Akronim,2023-12-15
2023-12-21 00:03:24+07:00,1737519080297701482,@Resty_J_Cayah Deal  sepakat. Saya putaran 1 pilih 03. Kalau 03 ga lolos  putaran selanjutnya pilih 01. Paling ga sudah ada Cak Imin di 01  ane pun udah ga terlalu anti ama Anies lagi.,0,0,3,1,in,2169523550,1737458409853927547,Sepur206,https://twitter.com/Sepur206/status/1737519080297701482,,,Pres,2023-12-21
