created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,keyword,target,paslon,date,lowercase
2023-12-18 19:20:09+07:00,1736723019098395009,@Wiratama1990 @OLannister550 @indina85941205 @tempodotco Hahahaha 🤣🤣🤣. Gini lohhh banyak artikel berita make judulnya gk jauh beda. Klopun tempo gk make CNN aja make. https://t.co/JBM7UAx3gC,0,0,0,0,id,1623749801308459008,1736286381016744227,JunQrT_777,https://twitter.com/JunQrT_777/status/1736723019098395009,,,Akronim,GaMa,P3,2023-12-18,@wiratama1990 @olannister550 @indina85941205 @tempodotco hahahaha 🤣🤣🤣. gini lohhh banyak artikel berita make judulnya gk jauh beda. klopun tempo gk make cnn aja make. https://t.co/jbm7uax3gc
2023-12-11 07:04:28+07:00,1734001163174113703,https://t.co/BkVMeLCTYb  Download aplikasi https://t.co/jRBVFmxWoW: https://t.co/l1W3PXTJmQ,0,0,0,0,id,59683059,1734001163174113703,DubesWakanda,https://twitter.com/DubesWakanda/status/1734001163174113703,,Shangri-La ,Wapres,Imin,P1,2023-12-11,https://t.co/bkvmelctyb  download aplikasi https://t.co/jrbvfmxwow: https://t.co/l1w3pxtjmq
2023-12-29 07:34:17+07:00,1740531649618854055,Syariah sekali....  Iki sak jane berita opo seh https://t.co/4pzw8dhjNb,5,63,24,110,id,1135182840511885313,1740531649618854055,Ryu53944310,https://twitter.com/Ryu53944310/status/1740531649618854055,https://pbs.twimg.com/media/GCecSfPbgAAupma.jpg,"Kebayoran Lama, Indonesia",Wapres,Mahfud,P3,2023-12-29,syariah sekali....  iki sak jane berita opo seh https://t.co/4pzw8dhjnb
2023-12-23 19:29:34+07:00,1738537329835602298,Anak kecil ni lahir pada hari pertama peperangan.. bapanya seorang wartawan  terpaksa bertugas pada hari pertama peperangan tersebut sehinggalah saat hari ini  selepas 79 hari  baru bapanya dapat menatap anaknya tersebut buat kali pertama.. 😊,33,1,5224,8088,id,2179498534,1738537329835602298,_muhaimin26,https://twitter.com/_muhaimin26/status/1738537329835602298,,"Kuala Lumpur, Wilayah Persekut",Wapres,Imin,P1,2023-12-23,anak kecil ni lahir pada hari pertama peperangan.. bapanya seorang wartawan  terpaksa bertugas pada hari pertama peperangan tersebut sehinggalah saat hari ini  selepas 79 hari  baru bapanya dapat menatap anaknya tersebut buat kali pertama.. 😊
2023-12-24 19:19:07+07:00,1738897089634124105,Pengambilan keputusan memang harus didasari narasi dan gagasan  apalagi keputusan besar. Narasi dan gagasan harus dikalibrasi  harus dikritik supaya menghasilkan ide yang menjawab keperluan masyarakat.  Terima kasih yang setinggi-tingginya kepada Komunitas Kuning  Ijo  Biru yang… https://t.co/ji5jj7fcv1,140,84,897,2677,id,1490116879,1738897089634124105,cakimiNOW,https://twitter.com/cakimiNOW/status/1738897089634124105,https://pbs.twimg.com/amplify_video_thumb/1738896426426638336/img/VCcY3O1NS9DwdzKT.jpg,Indonesia,Wapres,Imin,P1,2023-12-24,pengambilan keputusan memang harus didasari narasi dan gagasan  apalagi keputusan besar. narasi dan gagasan harus dikalibrasi  harus dikritik supaya menghasilkan ide yang menjawab keperluan masyarakat.  terima kasih yang setinggi-tingginya kepada komunitas kuning  ijo  biru yang… https://t.co/ji5jj7fcv1
2023-12-24 10:21:17+07:00,1738761738844303761,Teman-teman sering lewat jalan tol? Suka memperhatikan lingkungan di sekitarnya?  Setiap kebijakan pembangunan selain memperhatikan kemajuan  juga perlu memperhatikan potensi dampak yang akan dimunculkan. Kami berkunjung ke RM. Abah Pantura yang terdampak setelah adanya… https://t.co/5kYTpPg1vn,69,260,1776,5528,id,110312278,1738761738844303761,aniesbaswedan,https://twitter.com/aniesbaswedan/status/1738761738844303761,https://pbs.twimg.com/ext_tw_video_thumb/1738761215206387713/pu/img/ASV6YALxtjDx_jUK.jpg,Indonesia,Pres,Anies,P1,2023-12-24,teman-teman sering lewat jalan tol? suka memperhatikan lingkungan di sekitarnya?  setiap kebijakan pembangunan selain memperhatikan kemajuan  juga perlu memperhatikan potensi dampak yang akan dimunculkan. kami berkunjung ke rm. abah pantura yang terdampak setelah adanya… https://t.co/5kytppg1vn
2023-12-09 08:48:09+07:00,1733302482020057188,Bertemu sekaligus diskusi dengan para Da'i  tokoh perempuan dan kaum muda Kabupaten Langkat Sumatera Utara. Saya catat setiap aspirasi mereka  satu diantaranya adalah terkait keinginan para Da'i untuk mendapatkan perhatian lebih dari negara.  Peran mereka sangat besar dalam… https://t.co/68ZOi92XlV,6,429,522,1362,id,1490116879,1733302482020057188,cakimiNOW,https://twitter.com/cakimiNOW/status/1733302482020057188,https://pbs.twimg.com/media/GA3tayUaoAAMTQI.jpg,Indonesia,Wapres,Imin,P1,2023-12-09,bertemu sekaligus diskusi dengan para da'i  tokoh perempuan dan kaum muda kabupaten langkat sumatera utara. saya catat setiap aspirasi mereka  satu diantaranya adalah terkait keinginan para da'i untuk mendapatkan perhatian lebih dari negara.  peran mereka sangat besar dalam… https://t.co/68zoi92xlv
2023-12-09 19:56:06+07:00,1733470578315821267,Aman Palestin dan H@m@5 berpisah tiada Alhamdulillah https://t.co/8WBBlSrrRB,0,0,0,0,id,1188288043,1733470578315821267,NasrulMuhaiminM,https://twitter.com/NasrulMuhaiminM/status/1733470578315821267,https://pbs.twimg.com/media/GA6GTKta0AE7ICz.jpg,,Wapres,Imin,P1,2023-12-09,aman palestin dan h@m@5 berpisah tiada alhamdulillah https://t.co/8wbblsrrrb
2023-12-09 16:52:35+07:00,1733424391432884537,selalu momen yang burem gapernah gagal https://t.co/V3kx5uOGbH,12,4,271,1313,id,1691375991678230529,1733424391432884537,nakutinn,https://twitter.com/nakutinn/status/1733424391432884537,https://pbs.twimg.com/ext_tw_video_thumb/1733424336982462464/pu/img/TJNop-kOG6Wb_2QS.jpg,RPS MARKHYUCK ,Wapres,Mahfud,P3,2023-12-09,selalu momen yang burem gapernah gagal https://t.co/v3kx5uogbh
2023-12-09 16:18:54+07:00,1733415915122036772,"BONGKAR"" Panggung Rakyat 2023.  9 Desember 2023 | Stadion Madya GBK | Pukul 13:00 Wib.  #lawandinastipolitik #lawanneoorba #salamkeadilan https://t.co/76RFEIfrzp""",0,0,2,12,id,1717125998238699520,1733415915122036772,GEGAMA_,https://twitter.com/GEGAMA_/status/1733415915122036772,https://pbs.twimg.com/media/GA5UbRmbsAAJVxS.jpg,,Pres,Ganjar,P3,2023-12-09,"bongkar"" panggung rakyat 2023.  9 desember 2023 | stadion madya gbk | pukul 13:00 wib.  #lawandinastipolitik #lawanneoorba #salamkeadilan https://t.co/76rfeifrzp"""
2023-12-23 14:05:34+07:00,1738455790598619476,Ada yang ikut nonton acara debat tadi malam?  Alhamdulillah  semoga dengan adanya adu gagasan tadi malam  semakin jelas bagi masyarakat Indonesia yang menginginkan perubahan.  Jangan lupa  tanggal 14 Februari nanti  kita hadirkan perekonomian yang adil dan makmur untuk semua… https://t.co/jeX6O0jzxA,36,363,1851,7352,id,110312278,1738455790598619476,aniesbaswedan,https://twitter.com/aniesbaswedan/status/1738455790598619476,https://pbs.twimg.com/ext_tw_video_thumb/1738455635312984064/pu/img/o8BOVTdv17n6oECx.jpg,Indonesia,Pres,Anies,P1,2023-12-23,ada yang ikut nonton acara debat tadi malam?  alhamdulillah  semoga dengan adanya adu gagasan tadi malam  semakin jelas bagi masyarakat indonesia yang menginginkan perubahan.  jangan lupa  tanggal 14 februari nanti  kita hadirkan perekonomian yang adil dan makmur untuk semua… https://t.co/jex6o0jzxa
2023-12-16 21:06:29+07:00,1736025004158955890,Berani ngasih hukuman gak Bawaslu?  https://t.co/WjN5XvZUGe,0,4,2,16,id,1637572714205421595,1736025004158955890,liaasister,https://twitter.com/liaasister/status/1736025004158955890,,,Wapres,Gibran,P2,2023-12-16,berani ngasih hukuman gak bawaslu?  https://t.co/wjn5xvzuge
2023-12-16 19:43:54+07:00,1736004222213087532,Why ungafakanga isthombe sethu uyangifihla yini???,0,1,6,189,id,2672799514,1736004222213087532,uLuyanda_Gama,https://twitter.com/uLuyanda_Gama/status/1736004222213087532,,Johannesburg/ KZN (Estcourt),Wapres,Mahfud,P3,2023-12-16,why ungafakanga isthombe sethu uyangifihla yini???
2023-12-26 11:38:18+07:00,1739505893920960971,Ini antrian hari minggu kemarin di samsul safari eh solo safari https://t.co/k00j0MGhx4,334,1492,772,19840,id,1356478042797797377,1739505893920960971,gibran_tweet,https://twitter.com/gibran_tweet/status/1739505893920960971,https://pbs.twimg.com/media/GCP3X_ubwAAPyT5.jpg,,Wapres,Gibran,P2,2023-12-26,ini antrian hari minggu kemarin di samsul safari eh solo safari https://t.co/k00j0mghx4
2023-12-20 00:30:11+07:00,1737163428928893018,@Dennysiregar7 Kalau pihak 03 yg bicara spt itu bisa2 serentak demo bersilit silit.,0,2,4,42,id,278039207,1737152792811483251,Megatop99,https://twitter.com/Megatop99/status/1737163428928893018,,Indonesia,Wapres,Mahfud,P3,2023-12-20,@dennysiregar7 kalau pihak 03 yg bicara spt itu bisa2 serentak demo bersilit silit.
2023-12-14 21:41:19+07:00,1735308993072128280,Semoga yang dilamar bang Saka beneran ce Issa  bukan invader.,1,1,13,0,id,768696427279114240,1735308993072128280,gamanieI,https://twitter.com/gamanieI/status/1735308993072128280,,"My Lucky7, Yayas.",Wapres,Mahfud,P3,2023-12-14,semoga yang dilamar bang saka beneran ce issa  bukan invader.
2023-12-11 16:43:38+07:00,1734146915347108057,Case closed n clear yach...  Klo ada masih ada yg bilang Blunder blunder lagi... gue olesin bibir loe pake Asam Sulfat...  🤣🤣🤣🤣🤣🤣  https://t.co/dTCGFe0NNM,2,1,3,11,id,487243948,1734146915347108057,Flyingfighter27,https://twitter.com/Flyingfighter27/status/1734146915347108057,,jakarta,Wapres,Imin,P1,2023-12-11,case closed n clear yach...  klo ada masih ada yg bilang blunder blunder lagi... gue olesin bibir loe pake asam sulfat...  🤣🤣🤣🤣🤣🤣  https://t.co/dtcgfe0nnm
2023-12-16 16:59:48+07:00,1735962924655792537,Kalau bukan anak pak Lurah dia bukan siapa2 kok... https://t.co/6rq6i32cWU,0,0,2,1,id,1327222175300894722,1735962924655792537,MasmuhMuhaimin,https://twitter.com/MasmuhMuhaimin/status/1735962924655792537,https://pbs.twimg.com/ext_tw_video_thumb/1735962709416669184/pu/img/eW-V_x16tB2yeHOy.jpg,,Wapres,Imin,P1,2023-12-16,kalau bukan anak pak lurah dia bukan siapa2 kok... https://t.co/6rq6i32cwu
2023-12-24 20:29:25+07:00,1738914780289867896,PENJELASAN TENTANG ANGIN 👉 Jangan di Klik Bantu RT https://t.co/YDbZuhV1SV,161,210,3787,5848,id,1335552103457034240,1738914780289867896,SOBAT_ANIES,https://twitter.com/SOBAT_ANIES/status/1738914780289867896,https://pbs.twimg.com/ext_tw_video_thumb/1738914707657150464/pu/img/zPY5Tzy0_3AApzLE.jpg,"Surakarta, Jawa Tengah",Pres,Anies,P1,2023-12-24,penjelasan tentang angin 👉 jangan di klik bantu rt https://t.co/ydbzuhv1sv
2023-12-28 22:14:49+07:00,1740390855335387439,what if akun ini ke suspen,0,13,0,0,id,1691375991678230529,1740390855335387439,mahaeterus,https://twitter.com/mahaeterus/status/1740390855335387439,,RPS MARKHYUCK ,Wapres,Mahfud,P3,2023-12-28,what if akun ini ke suspen
2023-12-18 19:24:09+07:00,1736724027396509774,Udah kopong gak bernyali pula. Yang memilih dia menjadi Cawapres benar-benar tak paham masalah negara. https://t.co/RVIQxuHh8C,3,0,105,188,id,296177546,1736724027396509774,giginpraginanto,https://twitter.com/giginpraginanto/status/1736724027396509774,,,Wapres,Gibran,P2,2023-12-18,udah kopong gak bernyali pula. yang memilih dia menjadi cawapres benar-benar tak paham masalah negara. https://t.co/rviqxuhh8c
