created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,keyword,target,paslon,date,lowercase
2023-12-09 16:18:54+07:00,1733415915122036772,"BONGKAR"" Panggung Rakyat 2023.  9 Desember 2023 | Stadion Madya GBK | Pukul 13:00 Wib.  #lawandinastipolitik #lawanneoorba #salamkeadilan https://t.co/76RFEIfrzp""",0,0,2,12,id,1717125998238699520,1733415915122036772,GEGAMA_,https://twitter.com/GEGAMA_/status/1733415915122036772,https://pbs.twimg.com/media/GA5UbRmbsAAJVxS.jpg,,Pres,Ganjar,P3,2023-12-09,"bongkar"" panggung rakyat 2023.  9 desember 2023 | stadion madya gbk | pukul 13:00 wib.  #lawandinastipolitik #lawanneoorba #salamkeadilan https://t.co/76rfeifrzp"""
2023-12-26 11:38:18+07:00,1739505893920960971,Ini antrian hari minggu kemarin di samsul safari eh solo safari https://t.co/k00j0MGhx4,334,1492,772,19840,id,1356478042797797377,1739505893920960971,gibran_tweet,https://twitter.com/gibran_tweet/status/1739505893920960971,https://pbs.twimg.com/media/GCP3X_ubwAAPyT5.jpg,,Wapres,Gibran,P2,2023-12-26,ini antrian hari minggu kemarin di samsul safari eh solo safari https://t.co/k00j0mghx4
2023-12-20 00:30:11+07:00,1737163428928893018,@Dennysiregar7 Kalau pihak 03 yg bicara spt itu bisa2 serentak demo bersilit silit.,0,2,4,42,id,278039207,1737152792811483251,Megatop99,https://twitter.com/Megatop99/status/1737163428928893018,,Indonesia,Wapres,Mahfud,P3,2023-12-20,@dennysiregar7 kalau pihak 03 yg bicara spt itu bisa2 serentak demo bersilit silit.
2023-12-11 16:43:38+07:00,1734146915347108057,Case closed n clear yach...  Klo ada masih ada yg bilang Blunder blunder lagi... gue olesin bibir loe pake Asam Sulfat...  🤣🤣🤣🤣🤣🤣  https://t.co/dTCGFe0NNM,2,1,3,11,id,487243948,1734146915347108057,Flyingfighter27,https://twitter.com/Flyingfighter27/status/1734146915347108057,,jakarta,Wapres,Imin,P1,2023-12-11,case closed n clear yach...  klo ada masih ada yg bilang blunder blunder lagi... gue olesin bibir loe pake asam sulfat...  🤣🤣🤣🤣🤣🤣  https://t.co/dtcgfe0nnm
2023-12-24 20:29:25+07:00,1738914780289867896,PENJELASAN TENTANG ANGIN 👉 Jangan di Klik Bantu RT https://t.co/YDbZuhV1SV,161,210,3787,5848,id,1335552103457034240,1738914780289867896,SOBAT_ANIES,https://twitter.com/SOBAT_ANIES/status/1738914780289867896,https://pbs.twimg.com/ext_tw_video_thumb/1738914707657150464/pu/img/zPY5Tzy0_3AApzLE.jpg,"Surakarta, Jawa Tengah",Pres,Anies,P1,2023-12-24,penjelasan tentang angin 👉 jangan di klik bantu rt https://t.co/ydbzuhv1sv
2023-12-18 19:24:09+07:00,1736724027396509774,Udah kopong gak bernyali pula. Yang memilih dia menjadi Cawapres benar-benar tak paham masalah negara. https://t.co/RVIQxuHh8C,3,0,105,188,id,296177546,1736724027396509774,giginpraginanto,https://twitter.com/giginpraginanto/status/1736724027396509774,,,Wapres,Gibran,P2,2023-12-18,udah kopong gak bernyali pula. yang memilih dia menjadi cawapres benar-benar tak paham masalah negara. https://t.co/rviqxuhh8c
2023-12-09 23:08:48+07:00,1733519072841912654,@BudiSetyarso W liat  mereka ini kek udh di tahap cuek bebek sm pelanggaran2nya. Logikanya  kalau MK bisa dikangkangi  apalagi cuma KPU atau Bawaslu. Jd rakyat yg mengawasi tindak tanduk mereka cuma dianggap angin lalu. Toh kita ga bisa apa2 jg  sistem dikuasai mereka. https://t.co/tRAqv2rdnG,2,8,34,101,id,1059968402163302400,1733489320080846864,sianakboba,https://twitter.com/sianakboba/status/1733519072841912654,,,Wapres,Gibran,P2,2023-12-09,@budisetyarso w liat  mereka ini kek udh di tahap cuek bebek sm pelanggaran2nya. logikanya  kalau mk bisa dikangkangi  apalagi cuma kpu atau bawaslu. jd rakyat yg mengawasi tindak tanduk mereka cuma dianggap angin lalu. toh kita ga bisa apa2 jg  sistem dikuasai mereka. https://t.co/traqv2rdng
2023-12-10 23:07:14+07:00,1733881063678882107,Si cawapres belimbing sayur babak belur gara gara asam sulfat. Terbukti pengetahuannya sangat minim!! https://t.co/Tc1a8HS9CF,0,0,0,0,id,1696561767294652416,1733881063678882107,BersamaAnies24,https://twitter.com/BersamaAnies24/status/1733881063678882107,https://pbs.twimg.com/ext_tw_video_thumb/1733881005717733376/pu/img/tDrUX4umh7_7i0rz.jpg,,Pres,Anies,P1,2023-12-10,si cawapres belimbing sayur babak belur gara gara asam sulfat. terbukti pengetahuannya sangat minim!! https://t.co/tc1a8hs9cf
2023-12-10 21:50:54+07:00,1733861854617931879,Belimbing sayur mending belajar dulu sama bapaknya nama ikan 😂 https://t.co/UKnpTqk958,0,0,2,7,id,576025157,1733861750490140963,anies_maniaa,https://twitter.com/anies_maniaa/status/1733861854617931879,https://pbs.twimg.com/ext_tw_video_thumb/1733861830286819328/pu/img/t7Rh_lG-yrq6VCwG.jpg,Indonesia ,Pres,Anies,P1,2023-12-10,belimbing sayur mending belajar dulu sama bapaknya nama ikan 😂 https://t.co/uknptqk958
2023-12-21 17:53:56+07:00,1737788488278475220,https://t.co/6Zd2xL8fRe   Kalau program bagi2 susu dan makan siang gratis ini brilian...mengapa tidak dilakukan Pemerintahan Pak Jokowi selama ini? #sebuahmisteri 😊,10,21,111,235,id,85087815,1737788488278475220,unilubis,https://twitter.com/unilubis/status/1737788488278475220,,Indonesia,Wapres,Gibran,P2,2023-12-21,https://t.co/6zd2xl8fre   kalau program bagi2 susu dan makan siang gratis ini brilian...mengapa tidak dilakukan pemerintahan pak jokowi selama ini? #sebuahmisteri 😊
