"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Mon Dec 04 06:15:50 +0000 2023","1731557906292818340","pak Ganjar P3nerus Jokowi siap melanjutkan tugas jokowi dengan amanah  komitmen yang kuat  dan taat kepada hukum karena pak ganjar memiliki karakter seperti presiden jokowi. https://t.co/D61byNTHYO","0","257","171","202","in","1120300065770201089","1731557906292818340","siastiie","https://twitter.com/siastiie/status/1731557906292818340","https://pbs.twimg.com/media/GAe6vUYawAATYwo.jpg","di hatiku"
"Mon Dec 04 09:59:30 +0000 2023","1731614194255143107","Masya Allah  anggun &amp; bersahaja Siti Atikoh calon ibu negara RI ini  Tutur katanya  lemah lembut membuat banyak masyarakat suka dan nyaman berada dekat dengannya.   kasih sayangnya jg tulus  Utk masyarakat yg ditemui nya Dlm setiap kegiatan  Ganjar P3nerus Jokowi https://t.co/CE6z9OZcFR","2","11","63","275","in","1248538148990152704","1731614194255143107","Ghurem2","https://twitter.com/Ghurem2/status/1731614194255143107","https://pbs.twimg.com/ext_tw_video_thumb/1731614141306314752/pu/img/z3Qya-2rBLNKpUN3.jpg","Jateng  Indonesia"
"Mon Dec 04 14:09:04 +0000 2023","1731677000203436444","Pendidikan hrs jd panglima pembangunan &amp; kemajuan negara. Tapi PR yg mesti Ganjar Mahfud selesaikan adlh kesejahteraan &amp; kenyamanan guru  Tentu kita berharap kesejahteraan guru meningkat agar semua semakin nyaman &amp; semangat menebar ilmu yg manfaat #GanjarMahfud2024 #SahabatGanjar https://t.co/KuzzHrDyAD","0","6","63","226","in","228628424","1731677000203436444","AirinDatangLagi","https://twitter.com/AirinDatangLagi/status/1731677000203436444","https://pbs.twimg.com/ext_tw_video_thumb/1731676686905655297/pu/img/pHOr8-hBGzpXhE3A.jpg","ÜT: -6.1389099,106.7214539"
"Mon Dec 04 16:11:07 +0000 2023","1731707714190106840","Jika ingin tahu kegiatan Jokowi akan berkunjung ke daerah mana saja tanya Ganjar Pranowo agendanya kemana. Itulah jawabannya.  Pak Lurah ngintili calon Lurah!  SELAMAT MALAM BELIMBING SAYUR! https://t.co/BxwAwz38QK","1","2","23","76","in","1282459217878642688","1731707714190106840","ShenoWirang","https://twitter.com/ShenoWirang/status/1731707714190106840","https://pbs.twimg.com/media/GAhC_P6a4AAcUcL.jpg","Everywhere"
"Mon Dec 04 14:37:48 +0000 2023","1731684230021660762","Melihat Sulteng yang kaya akan SDA  Ganjar sangat tertarik untuk memanfaatkan potensi tersebut agar berdaya guna bagi rakyat dan negara.  Karenanya dia mengatakan  yang harus dilakukan adalah menyiapkan SDM nya  jangan sampai ekploitasi SDA dilakukan asing. #SahabatGanjar https://t.co/rpxnPwhB15","0","1","15","20","in","1677662458167836673","1731684230021660762","lolina_321lagi","https://twitter.com/lolina_321lagi/status/1731684230021660762","https://pbs.twimg.com/media/GAgtnIZXwAAedHw.jpg","Jamaica"
"Mon Dec 04 15:36:19 +0000 2023","1731698955522908511","Siti Atikoh istri Capres no 3 Ganjar Pranowo didapuk jadi ibu asuh disabilitas https://t.co/UwIU1odzG0","2","0","49","204","in","1247512756925763589","1731698955522908511","akupadi5","https://twitter.com/akupadi5/status/1731698955522908511","https://pbs.twimg.com/ext_tw_video_thumb/1731698808856158208/pu/img/B-ElH0eeLjOeXA8O.jpg","Ahokers 🤟🤟🤟"
"Mon Dec 04 11:17:26 +0000 2023","1731633805587312660","Didepan para relawan  simpatisan dan partai pengusung  Ganjar mengatakan potensi SDA di Sulteng sangat melimpah  sedangkan pengelolaannya belum optimal untuk serapan daerah sbg deviden pemasukan daerah. #SahabatGanjar https://t.co/7bC56HHUuM","0","1","28","56","in","1547134387694993409","1731633805587312660","ex_AnakLolina","https://twitter.com/ex_AnakLolina/status/1731633805587312660","https://pbs.twimg.com/ext_tw_video_thumb/1731633689115967488/pu/img/SJOWIUfgGS2wxDOG.jpg","Jamaica"
"Mon Dec 04 06:19:31 +0000 2023","1731558832101609967","Tidak Abu-Abu  Tidak Juga Pilih Prabowo  Salah Satu Stafsus Jokowi Ajak Rakyat Pilih Ganjar  Di kondisi perpolitikan negara yang membuat publik terombang-ambing karena presiden yang terlalu dalam menapaki pesta demokrasi nanti  ada kabar yang mengejutkan dan mungkin kemunculannya… https://t.co/e8RcKoJWPW","12","3015","1526","2446","in","48359478","1731558832101609967","Melihat_Indo","https://twitter.com/Melihat_Indo/status/1731558832101609967","https://pbs.twimg.com/media/GAe7lATbgAADCf_.jpg","Indonesia"
"Mon Dec 04 11:09:21 +0000 2023","1731631773468303545","Sikap Ganjar Soal IKN sudah jelas dan tegas!! https://t.co/w8Y9i1wF0d","3","10","44","189","in","214159664","1731631773468303545","Paltiwest","https://twitter.com/Paltiwest/status/1731631773468303545","https://pbs.twimg.com/ext_tw_video_thumb/1731631544236929024/pu/img/lVxdBLhuYub3AAgk.jpg","Medan dan Jakarta, Indonesia"
"Mon Dec 04 08:33:08 +0000 2023","1731592461389349268","Yenny wahid deklarasikan ulama Banten Abuya Muhtadi jadi dewan penasihat TPN Ganjar Mahfud https://t.co/JBqeIucgqP","2","12","103","420","in","1247512756925763589","1731592461389349268","akupadi5","https://twitter.com/akupadi5/status/1731592461389349268","https://pbs.twimg.com/ext_tw_video_thumb/1731592389234700288/pu/img/FAs-yPy8iNI7_uwP.jpg","Ahokers 🤟🤟🤟"
