created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location
2023-12-23 00:00:34+07:00,1738243142162526417,Cawapres No 3  .mempermasalahkan pertanyaan terkait Carbon Capture Storage  karena dianggap tidak terkait dengan tema debat ekonomi hari ini.  Tidak  Pak. Pertanyaan itu menunjukkan visi ekonomi Pak @prabowo dan Mas @gibran_tweet   yakni ekonomi hijau  ekonomi yang dibangun…,67,569,62,403,in,194987317,1738243142162526417,Dahnilanzar,https://twitter.com/Dahnilanzar/status/1738243142162526417,,
2023-12-23 00:01:17+07:00,1738243321137709437,Bagus Cak ⁦@cakimiNOW⁩ ! Mmg hrs ditanya dulu. Krn akronim yg sama mungkin saja digunakan utk hal lain. Etika Bertanya mmg harusnya tdk menggunakan akronim. Atau menggunakan akronim lalu menyebut kepanjangan akronim. Itu jelas jebakan yg disengaja.   https://t.co/xNfDjCyr5W,2,9,27,48,in,1301052979852619777,1738243321137709437,MartinusButarb1,https://twitter.com/MartinusButarb1/status/1738243321137709437,,"DKI Jakarta, Indonesia"
2023-12-23 00:01:20+07:00,1738243333284335896,@Dahnilanzar @gibran_tweet Dahnil  sadarlah.! Tidakkah anda merasa malu me muji2 Gibran seperti itu.? Kami sangat ngerti Dahnil  Gibran itu persis kayak bapaknya. Barang rongsokan kayak gitu di agung2kan. Sungguh memalukan.!,0,5,11,109,in,1730479775897255936,1738237929426948409,MHasyimHas90544,https://twitter.com/MHasyimHas90544/status/1738243333284335896,,
2023-12-23 00:02:09+07:00,1738243541376360823,@hanumrais @cakimiNOW @mohmahfudmd @jokowi Sebaiknya cawapres yang lain melontarkan pertanyaan yang sama ke Gibran dengan istilah2 yg sulit diterima. Gibran ini tak pintar...tapi dia cerdik atau boleh jadi licik. Dia hanya ingin show of power ke pemirsa menenggelamkan Paslon lain dgn istilah2 tidak lumrah.,0,2,3,60,in,1656582387265064961,1737652774014529589,mohamme72844721,https://twitter.com/mohamme72844721/status/1738243541376360823,,Indonesia
2023-12-23 00:02:12+07:00,1738243552050885114,@KompasTV Pak Anies selalu bisa menjawab dengan elegan. Kalimat lebih langsungnya “pertanyaanmu tuh gak berkualitas  hanya selevel hapalan cerdas cermat” Btw @gibran_tweet paham gak yang disebut aspek teknis dan aspek substantif ?,0,7,22,234,in,1455923001447174146,1738222971683229886,Old_Shaterhand,https://twitter.com/Old_Shaterhand/status/1738243552050885114,,
2023-12-23 00:04:34+07:00,1738244148610937310,@Catatan_ali7 @Arie_Kriting Coba istilah SGIE tadi yg melontar cak imin dan gibran gagal menjawab? Gimana reaksi anda? Sudah jelas pasti anda kegirangan luar biasa kayak monyet baru bebas dari kebun binatang. Membuat meme 'kegoblokan' Gibran sekali lagi  Sudahi munafik kalian  muak tau gak?,3,4,3,81,in,1439266219572428804,1738230734610211087,asbakaca,https://twitter.com/asbakaca/status/1738244148610937310,,
2023-12-23 00:05:35+07:00,1738244404362817569,Anak Penguasa tampil selayaknya Anak Penguasa  Mahfud susah payah meladeni  Gus Imin keteteran.   Debat itu show bukan substansi  membaca naskah jelas gak menarik  apalagi ada poin 1 hingga 20.  Setengil-tengilnya Gibran  dia tampil jauh lebih baik dibanding kedua rivalnya  Show!,21,196,126,901,in,102938290,1738244404362817569,satriohendri,https://twitter.com/satriohendri/status/1738244404362817569,,Indonesia
2023-12-23 00:06:42+07:00,1738244683279839313,Halo om google...  Ini dari jaringan debat cawapres.   Bolh minta data gak. Berapa impestor asing yg udh masuk Ikn.   Sedayu mayapada  ntu sih lokal punya. 😄 https://t.co/RS9ngV9kQw,0,7,7,32,in,1613404169997783040,1738244683279839313,Cimbara,https://twitter.com/Cimbara/status/1738244683279839313,,"Jakarta Barat, DKI Jakarta"
2023-12-23 00:07:01+07:00,1738244763760144839,@Dahnilanzar @prabowo @gibran_tweet Emang boleh?? https://t.co/4hK2CkOfY7,4,28,23,84,in,579089730,1738243142162526417,NKRIndonesia79,https://twitter.com/NKRIndonesia79/status/1738244763760144839,https://pbs.twimg.com/ext_tw_video_thumb/1738244742658600960/pu/img/uNAy9NOFT6ND7UYd.jpg,
2023-12-23 00:09:46+07:00,1738245454553624870,@kucimggg Ngacak2 konstitusi gimana wkwk  putusan MK kan bukan untuk gibran doang  lagian untuk apa membatasi umur cawapres? Apakah diumur 40 menjamin kalo dia bisa ngurus negara? Ga juga kan  jadi untuk batas umur sebenernya ga ngaruh apa2 menurut gua  cmiiw.,3,13,2,97,in,1614468271482490880,1738196271515713664,JuanAnthoni4,https://twitter.com/JuanAnthoni4/status/1738245454553624870,,
