created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location
2023-12-22 19:42:28+07:00,1738178189695009263,Gibran menyebut2 tentang pengembangan bioavtur  yg mrpkn salah 1 cth bioeconomy yg menggunakan sawit. Tulisan saya yg terbaru ini menjelaskan bagaimana bioeconomy ini justru akan melanggengkan ketimpangan.  #DebatCawapres,3,3,111,306,in,21861624,1738178189695009263,BuruhSiluman,https://twitter.com/BuruhSiluman/status/1738178189695009263,,"Middle world, also underworld and upperworld"
2023-12-22 19:48:16+07:00,1738179647035302071,Gibran yang dihina dibilang bocil  dibilang bocah ingusan  dibilang planga plongo klemar klemer justru keren bgt openingnya. Itu bapak-bapak yang udah pro kok keok bgt ketika opening? ada yg melenceng jg dari jalur wkwkwk cupuuu #DebatCawapres #TimGibran,3,23,45,332,in,1547885118018048002,1738179647035302071,483juta,https://twitter.com/483juta/status/1738179647035302071,,
2023-12-22 19:48:28+07:00,1738179698402984354,Sesi Satu Debat Cawapres  1. AMIN : Cak Imin  dengan slepetnya. 7/10  2. Prabowo Gibran : Gibran dengan gagasan hilirisasi digital  7.5/10  3. GAMA : Pak Mahfud dengan proyeksi pertumbuhan 7% di masa depan  7.5/10,46,221,633,7828,in,102215394,1738179698402984354,Arie_Kriting,https://twitter.com/Arie_Kriting/status/1738179698402984354,,"Wakatobi, Sulawesi Tenggara"
2023-12-22 19:49:54+07:00,1738180058655969656,GAK ADA OBAT SIH MAS GIBRAN POKONYA GUYS!  #prabowo #gibran #prabowogibran #mendingprabowo #terusmajubersamaprabowo #dekade08 #BersamaIndonesiaMaju #debatcawapres #debatcawapres2024 #kpuri #kpu https://t.co/mdW6l2x5hz,1,62,73,69,in,1576913175227748352,1738180058655969656,dekade_08,https://twitter.com/dekade_08/status/1738180058655969656,https://pbs.twimg.com/ext_tw_video_thumb/1738179877013221376/pu/img/Mq7XDO11Y8WvvBya.jpg,"DKI Jakarta, Indonesia"
2023-12-22 19:50:05+07:00,1738180107028844897,@ARSIPAJA katanya Gibran yang jadi beban  malah dia yang jadi beban! #DebatCawapers,0,7,34,645,in,345819752,1738178906644185547,KangIndra_,https://twitter.com/KangIndra_/status/1738180107028844897,,Indonesia
2023-12-22 19:51:58+07:00,1738180580771267041,Mangkanya jng pd belagu  sebelum acara debat jng pd sombong ngatain Gibran  Gak taunya junjungan elu yg zonk  paling jelek penyampaiannya,8,293,29,136,in,1258626853541052421,1738180580771267041,ajengcute16__,https://twitter.com/ajengcute16__/status/1738180580771267041,,Dihati mu 💙
2023-12-22 19:57:09+07:00,1738181883001962901,Gue ngerti kenapa Gibran mau di-fast trackin jadi wapres/presiden dude got potential fr imagine if Jokowi waited a bit longer. https://t.co/bmo4ff9mlr,4,0,15,122,in,1682607464326508544,1738181883001962901,aimr0d,https://twitter.com/aimr0d/status/1738181883001962901,https://pbs.twimg.com/ext_tw_video_thumb/1738181625610137600/pu/img/McxVDE6hEwEoIDNc.jpg,"Dongo, Lombardia"
2023-12-22 19:58:45+07:00,1738182285953061074,@Hasbil_Lbs @gibran_tweet Waahhh  Jiwa muda mas Gibran meronta2 di sesi ini,0,91,0,6,in,1728758122314072065,1738176459330789557,rifav40299,https://twitter.com/rifav40299/status/1738182285953061074,,
2023-12-22 19:59:47+07:00,1738182547002343614,Gibran Menyelamatkan Harta Karun Cagar Budaya bangsa dg Revitalisasi taman mangkunegara  #KerjaNyataGibran https://t.co/e0HFiBj73C,0,0,20,18,in,521085037,1738182547002343614,cintalove_4ever,https://twitter.com/cintalove_4ever/status/1738182547002343614,https://pbs.twimg.com/media/GB9D0HtaQAAIH_5.jpg,
2023-12-22 20:00:00+07:00,1738182600198369777,Dengan pembangunan dan kerja keras serta semangat mudanya Gibran berhasil menjadikan kota Solo kota yang sejahtera  dengan perputaran ekonomi yang baik. #KerjaNyataGibran https://t.co/gcqznGi9RF,0,0,7,5,in,1502938002791677952,1738182600198369777,borju_1s,https://twitter.com/borju_1s/status/1738182600198369777,https://pbs.twimg.com/media/GB8koNua0AAMGWo.jpg,
2023-12-22 20:00:01+07:00,1738182606750093709,Salah satu bukri bahwa Gibran cerdas adalah dengan meningginya ekonomi Solo dibandingkan Jakarta ataupun Jateng.   #KerjaNyataGibran https://t.co/KAuIKfNg1U,1,25,44,42,in,1502938002791677952,1738182606750093709,borju_1s,https://twitter.com/borju_1s/status/1738182606750093709,https://pbs.twimg.com/ext_tw_video_thumb/1738146009103093760/pu/img/q3Q1kaMs0t2kDbYu.jpg,
2023-12-22 20:00:02+07:00,1738182610143039646,aku percaya mas gibran akan bisa menjawab dengan baik berbagai pertanyaan dari kedua kompetitornya saat debat capres nanti walau masih muda kepemimpinan beliau sudah teruji saat menjabat walikota solo. #KerjaNyataGibran https://t.co/EeRgD055lc,0,25,67,60,in,870742633139666944,1738182610143039646,nitnotw,https://twitter.com/nitnotw/status/1738182610143039646,https://pbs.twimg.com/media/GB9BbbrbMAAfH8k.jpg,"Kota Surabaya, Jawa Timur"
2023-12-22 20:00:05+07:00,1738182620779880521,gibran bisa memaparkan visi dan misi secara baik dan mudah diterima masyarakat. termasuk memaparkan seperti apa program yang diusung jika nanti menjadi wakil presiden indonesia.  #KerjaNyataGibran https://t.co/la6kgPa5fT,1,23,69,61,in,1666702941217230849,1738182620779880521,Wilyaryan,https://twitter.com/Wilyaryan/status/1738182620779880521,https://pbs.twimg.com/media/GB9AhWRaUAA7ly9.jpg,"Semarang, Jawa Tengah"
