created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location
2023-12-25 07:11:23+07:00,1739076336512127263,@HmfaqihA Konsisten itu emang penting pak yai 🇮🇩🤟  2009 ga pilih Prabowo 2014 ga pilih Prabowo  2019 ga pilih Prabowo 2024 mantap ga pilih Prabowo   2030 kalau Indonesia jadi bubar  tetap ga pilih Prabowo.  😀😀😀,0,2,2,19,in,2698787827,1739060120557150609,su_santoso,https://twitter.com/su_santoso/status/1739076336512127263,,"Bekasi, Indonesia "
2023-12-25 07:13:03+07:00,1739076755628113975,Pasca Debat  Airlangga Klaim Dukungan untuk Prabowo-Gibran dari Luar Koalisi Mulai Mengalir https://t.co/mpdW8TWQ25 #TempoNasional,4,79,7,23,in,18129942,1739076755628113975,tempodotco,https://twitter.com/tempodotco/status/1739076755628113975,,Indonesia
2023-12-25 07:22:04+07:00,1739079023886844077,Prabowo Subianto-Gibran Rakabuming Raka menerima dukungan dari Solidaritas Nelayan Indonesia (SNI) di kawasan Pelabuhan Perikanan Kluwut  Brebes  Jawa Tengah  Minggu.24 des 2023  #Projo #Jokowi #Gibran #Prabowo #PrabowoGibran https://t.co/S1r0RbhUc6,1,45,28,144,in,872175115793858561,1739079023886844077,RcyberProj0,https://twitter.com/RcyberProj0/status/1739079023886844077,https://pbs.twimg.com/media/GCJzJzCbgAAcFeJ.jpg,"Jakarta Capital Region, Indone"
2023-12-25 07:24:54+07:00,1739079735823798480,Elektabilitas paslon nomor urut 1  @aniesbaswedan Cak Imin menyusul di posisi kedua dengan perolehan 21 8 %. Sementara paslon nomor urut 3  @ganjarpranowo-Mahfud duduk di posisi paling buncit dengan elektabilitas 21 3 %.  #Projo #Jokowi #Gibran #Prabowo #PrabowoGibran https://t.co/jzq1DfQnjN,1,73,26,110,in,872175115793858561,1739079735823798480,RcyberProj0,https://twitter.com/RcyberProj0/status/1739079735823798480,https://pbs.twimg.com/media/GCJzzP3bAAAn8E1.jpg,"Jakarta Capital Region, Indone"
2023-12-25 07:28:14+07:00,1739080576555180055,Simpatisan PKB dari 11 kec. di Kab. Magelang  mendukung paslon capres-cawapres Prabowo Subianto-Gibran Rakabuming Raka. Dalam deklarasi dukungan ini ditandai dengan simulasi pencoblosan foto Prabowo-Gibran di surat suara pilpres.  #Projo #Jokowi #Gibran #Prabowo #PrabowoGibran https://t.co/wpLZMo7fxd,7,106,38,189,in,872175115793858561,1739080576555180055,RcyberProj0,https://twitter.com/RcyberProj0/status/1739080576555180055,https://pbs.twimg.com/media/GCJ0kFPakAAEYD6.jpg,"Jakarta Capital Region, Indone"
2023-12-25 07:51:14+07:00,1739086365709787592,"The one and only Gibran Rakabuming  Saat kubu sebelah sibuk mencari kesalahan Gibran yg sengaja dibuat  sementara sejumlah media asing justru menyoroti kepiawaian Gibran mendominasi panggung Debat Cawapres.  Prabowo tdk salah memilih cawapres.  All In Prabowo-Gibran 🇮🇩 https://t.co/R1egtYlZvo""",2,22,30,62,in,1301242545888849921,1739086365709787592,Franken_blues,https://twitter.com/Franken_blues/status/1739086365709787592,https://pbs.twimg.com/ext_tw_video_thumb/1739086265679814656/pu/img/X1AvrNX9gQwFAuxL.jpg,"DKI Jakarta, Indonesia"
2023-12-25 07:53:05+07:00,1739086828043698361,@Bambangmulyonoo Saya jg pendukung jokowi..saya pilih prabowo..krn prabowo lebih menghormati jokowi drpd pdip/mega.. sdh waktunya  p jokowi lepas dr pdip..kl pdip bnyk kasus gak bs d proses seperti harun masiku..berattt..,0,15,2,41,in,1660855418686705664,1739034992720986222,JokoLelono44,https://twitter.com/JokoLelono44/status/1739086828043698361,,
2023-12-25 07:55:42+07:00,1739087487790907869,@ZulkifliLubis69 Kelihatan memang si wowo @prabowo sengaja ndak mau salaman dengan @aniesbaswedan… ndak tau kenapa ya ? Apa karena pernah ada komitmen kalo anies ndak nyapres kalo wowo nyapres ? Kan sudah dilaksanakan… kan ndak mungkin komitmen priodik begitu dijalankan sepanjang masa… wo wo… https://t.co/jAc8cwRZOU,0,5,0,1,in,1686019992444088320,1738849714773397793,PuangRahmang,https://twitter.com/PuangRahmang/status/1739087487790907869,https://pbs.twimg.com/media/GCJ62ZQaQAAOO9u.jpg,Indonesia
2023-12-25 08:03:41+07:00,1739089495239405675,Ogahhh...! cuma di kasih susu sekotak masih banyakan susu emak..asli bin orih tak mengenal kadaluarsah lagi. emak takut minum susu kotak dari @prabowo @gibran_tweet  takut terjangkit penyakit mencret berdahak gkgkgk..🤪😂🤣 #KitaBuktikanBenerGakPemiluBisaRiangGembira #BaperPacul,2,30,40,160,in,1271319727751610385,1739089495239405675,KaredokLeunca__,https://twitter.com/KaredokLeunca__/status/1739089495239405675,,Di Jero Imah
2023-12-25 08:06:11+07:00,1739090127488798771,KASIHAN.....MAHASISWA nya diBODOH2in Nis yg diTANYA PRABOWO itu ANGGARAN 80T buat POLUSI? CAPRES sama CAWAPRES 11-12 BEGOnya! https://t.co/PDXqdgaDpZ,0,0,0,1,in,1434495317496381443,1739090127488798771,ArdoyantoE,https://twitter.com/ArdoyantoE/status/1739090127488798771,https://pbs.twimg.com/ext_tw_video_thumb/1739090050716237824/pu/img/XGjzyKRHkvkoFgsm.jpg,
2023-12-25 08:08:22+07:00,1739090674526621905,Prabowo Gibran  Tidak Perlu di Negatif Campaign  Udah Melakukan Blunder Blunder Sendiri. Image Yang Kebentuk di Publik :  1. Gemoy Tapi Emosian 2. Bocah Songong Merendahkan Lawan Setuju RT✅,5,7,747,841,in,1335552103457034240,1739090674526621905,SOBAT_ANIES,https://twitter.com/SOBAT_ANIES/status/1739090674526621905,,"Surakarta, Jawa Tengah"
2023-12-25 08:19:33+07:00,1739093488346804424,@denismalhotra absen yg mau lihat prabowo kalah lagi 🙋‍♂️,13,35,116,1687,in,1689095684895772672,1739085202633458025,anonjawa,https://twitter.com/anonjawa/status/1739093488346804424,,Jawa
2023-12-25 08:20:57+07:00,1739093840395657372,Prabowo - gibran berkomitmen akan melanjutkan proyek bandara bali utara. Pak prabowo akan menjadikan bali sebagai pusat pariwisata dunia dg segala fasilitas dan infrastruktur penunjang yg memadai bagi para wisatawan domestik maupun manca negara. Tentu dampaknya akan menguntungkan https://t.co/nNzI86AyNl,0,1,3,5,in,1436268734709075972,1739093562799861847,ofjoohnny,https://twitter.com/ofjoohnny/status/1739093840395657372,https://pbs.twimg.com/ext_tw_video_thumb/1739093829142392832/pu/img/p1Z1E9PbuSouhhEp.jpg,Strictly Non Dating
2023-12-25 08:34:50+07:00,1739097338164208064,Heboh debat soal angin dg Prabowo   akhirnya @aniesbaswedan  tunjukkan data tentang itu  jadi siapa yg asal ngomong .  Kembali Prabowo  blunder dengan wawasannya yg minim . 🤭🤣 https://t.co/bCIcvMG8WI,16,33,387,644,in,1650846171441827845,1739097338164208064,Ruroun1Kingtuk,https://twitter.com/Ruroun1Kingtuk/status/1739097338164208064,https://pbs.twimg.com/ext_tw_video_thumb/1739097251564412928/pu/img/aWoyLEfo8wsPug_M.jpg,"Bekasi Barat, Indonesia"
2023-12-25 08:35:08+07:00,1739097412017561618,Usai Nonton #DebatCawapres  Relawan G-anjar di Bekasi Beralih Dukung Prabowo-Gibran   https://t.co/dN7lI9mgMC  ilustrasi @egiargians hanya pemanis https://t.co/KlJ9G3256S,4,42,371,488,in,1251824880967774208,1739097412017561618,Heraloebss,https://twitter.com/Heraloebss/status/1739097412017561618,https://pbs.twimg.com/ext_tw_video_thumb/1739097334238359552/pu/img/_yLvjIpdueOKvFGN.jpg,+62
2023-12-25 08:36:11+07:00,1739097676120260797,Dia yg sebut Prabowo lumpur Tapi dia juga yg menjilat lumpur tersebut.  Politisi asu sappo 🤪😂 @Uki23  @Gerindra  @prabowo https://t.co/IfmbPEZ8r6,10,64,119,258,in,1356517931887120384,1739097676120260797,Anak__Ogi,https://twitter.com/Anak__Ogi/status/1739097676120260797,https://pbs.twimg.com/ext_tw_video_thumb/1739097610332643328/pu/img/GozazSXTbeja4JRO.jpg,Indonesia
2023-12-25 08:47:56+07:00,1739100634929053893,TKN Prabowo Gibran akan laporkan KPU ke DKPP kalau KPU berani menegur Gibran yang berulah di debat capres I.  Wuih!   #RakyatMarahKPUCurang  #RakyatMarahKPUCurang https://t.co/wXL2jSwYWA,0,2,8,8,in,1629530059265703938,1739100634929053893,Srik4ndiMuslim2,https://twitter.com/Srik4ndiMuslim2/status/1739100634929053893,https://pbs.twimg.com/ext_tw_video_thumb/1739100617153687552/pu/img/ThB5KRpdu8Jjzoqk.jpg,
2023-12-25 09:23:44+07:00,1739109642633109902,✅️ Orang menang  sombong itu namanya Jumowo. ✅️ Orang kalah  menerima itu namanya legowo. ✅️ Orang kalah ngaku menang  itu namanya Prabowo.  Setuju kang Miftah 😂😂😂 https://t.co/DO7QyrqIZB,59,117,581,1320,in,84221579,1739109642633109902,narkosun,https://twitter.com/narkosun/status/1739109642633109902,https://pbs.twimg.com/ext_tw_video_thumb/1739109407861227520/pu/img/ExkLLGK_eniCrFL8.jpg,Indonesia
2023-12-25 09:25:13+07:00,1739110014433067194,Belajar Bahasa Jawa  Wong menang Sombong jenenge Jumowo Wong kalah ISO Nompo jenenge Legowo Wong kalah Ngaku Menang jenenge Prabowo 😂😂 https://t.co/ZfDB2KMsCJ,6,4,44,140,in,1144772185229160449,1739110014433067194,eddy_widodo_165,https://twitter.com/eddy_widodo_165/status/1739110014433067194,https://pbs.twimg.com/ext_tw_video_thumb/1739109256929095680/pu/img/hLxCwCMpfW9l3YfY.jpg,"Bogor, Jawa Barat"
2023-12-25 09:25:50+07:00,1739110172214342095,Prabowo Gibran  satu putaran nih  bang @Fahrihamzah,2,73,120,344,in,1682627008017350657,1739110172214342095,Resty_J_Cayah,https://twitter.com/Resty_J_Cayah/status/1739110172214342095,,
2023-12-25 09:38:24+07:00,1739113333729706295,Awal mengumumkan dukungan kepada Prabowo-Gibran kami tidak memaksa teman2 #99Army utk satu suara  kami bebaskan sesuai pertimbangan masing2 saja. Tapi dgn makin masifnya hoax  fitnah dan kata2 kasar dari pendukung kubu 01 dan 03 kami lihat mereka mulai bergeser ke 02,36,488,145,844,in,869327120,1739113333729706295,PartaiSocmed,https://twitter.com/PartaiSocmed/status/1739113333729706295,,Indonesia
2023-12-25 09:41:56+07:00,1739114223769370983,Ngeri kali ini Bang... Yuk rapat kan barisan @blackshark_7890 @_Opposite6890_ @dhemit_is_back @vanc1Bozz @CyberHansip86 @koh_alien @5t3v3n_P3g3L @6undul0h  CC: Pak @ListyoSigitP Pak @prabowo @CCICPolri @DivHumas_Polri,1,5,22,19,in,89374754,1739114223769370983,ClanaCingkrang,https://twitter.com/ClanaCingkrang/status/1739114223769370983,,"Jakarta Capital Region, Indone"
2023-12-25 09:46:34+07:00,1739115386912808993,Suruh ibu Balas pak @prabowo  @gibran_tweet   kelen pada punya  bini kan ?,3,25,77,327,in,1682627008017350657,1739115386912808993,Resty_J_Cayah,https://twitter.com/Resty_J_Cayah/status/1739115386912808993,,
2023-12-25 09:50:06+07:00,1739116278605087212,@PartaiSocmed Bukannya kamu juga pernah fitnah ke pendukung 01 tum? Fitnah bahwa pendukung 01 mengedit video prabowo menjulurkan lidah. Padahal video itu asli.,0,10,8,90,in,998527996100165632,1739113333729706295,yuliantbjm,https://twitter.com/yuliantbjm/status/1739116278605087212,,"Kalimantan Barat, Indonesia"
2023-12-25 09:50:24+07:00,1739116354484215997,pak anis yang kelihatannya elitis justru kebijakan-kebijakannya terlihat lebih walfare state. Sedangkan prabowo yg dicitrakan merakyat seperti jokowi malah kalau dilihat-lihat lebih ke arah kapitalistik. Misalnya merusak lingkungan untuk investasi  dan memperbesar sektor swasta.,16,18,356,1513,in,1517123019453636609,1739116354484215997,legislatweet,https://twitter.com/legislatweet/status/1739116354484215997,,
2023-12-25 10:02:19+07:00,1739119350370758869,Saya juga dulu militan dukung Prabowo  sekarang? Sori ya  sori yeeee  #AMINAjaDulu  #AminPalingSiapUntukIndonesia,1,1,7,9,in,992735968200347649,1739119350370758869,Syaifud30457221,https://twitter.com/Syaifud30457221/status/1739119350370758869,,"Kota Medan, Sumatera Utara"
2023-12-25 10:06:18+07:00,1739120353304350996,Ini koq mengerikan ya? kenapa engga sekalian saja KPU Minta tetapkan Prabowo Gibran sebagai Pemenang Pilpres kalau tidak dituruti ancam KPUnya untuk dibubarkan.  Pengaruh Pemimpin Bengis kebawah jadi pada ikutan bengis. Ngeri kalau berkuasa.,3,17,154,342,in,2905814730,1739120353304350996,abu_waras,https://twitter.com/abu_waras/status/1739120353304350996,,"Bima Sakti, Bumi, Indonesia"
2023-12-25 10:09:25+07:00,1739121139023307087,@herculep638 Nobar debat cawapres di terminal Perumnas sako Palembang. Alhamdulillah dapat kue dan air mineral serta brosur 8 program cepat prabowo. Sayang nya pemirsanya dak sampai 20 orang. https://t.co/7zO1GrzjfE,0,5,1,29,in,1570756718275203075,1738985068960575615,MukhitsP,https://twitter.com/MukhitsP/status/1739121139023307087,https://pbs.twimg.com/media/GCKY-vmaMAATiDD.jpg,
2023-12-25 10:15:09+07:00,1739122583411560552,@ch_chotimah2 @Uki23 @prabowo Udah jadi politikus kutu loncat pdhl belum jdi dewan.baru caleg. https://t.co/YtB6CkREbx,0,2,3,14,in,1121466686131933185,1739118552551244135,Dayatchelsea02,https://twitter.com/Dayatchelsea02/status/1739122583411560552,https://pbs.twimg.com/media/GCKaxSLbQAAqdxi.jpg,
2023-12-25 10:15:32+07:00,1739122679876305304,@Anak__Ogi @Uki23 @Gerindra @prabowo Tenggelamkan @psi_id ....salah satu partai selundupan. https://t.co/ZigNIP024T,0,0,2,1,in,301313246,1739097676120260797,dean_deanlova,https://twitter.com/dean_deanlova/status/1739122679876305304,https://pbs.twimg.com/ext_tw_video_thumb/1739122387692691456/pu/img/kGAQRXYSLv0RWHru.jpg,South East Asia
2023-12-25 10:28:39+07:00,1739125979963109519,Usai Nonton Debat Cawapres  Relawan Ganjar Ini Beralih Dukung Prabowo-Gibran  #02Melanjutkan #EnergiPositifGBRAN SmangatBaru AkuKamukita  https://t.co/myLF8NsRqP https://t.co/mYA4iOKnCH,2,101,35,87,in,1015531697226444800,1739125979963109519,KhoirilAnwar_,https://twitter.com/KhoirilAnwar_/status/1739125979963109519,https://pbs.twimg.com/media/GCKd3DPaQAA5ku1.jpg,Khoiril Anwar
2023-12-25 10:29:48+07:00,1739126267956662637,Gak peduli akun besar akun kecil akun baru netes sekalipun asal posting dukungan ke @prabowo @gibran_tweet pasti di gruduk bajer2 kalap  dgn bahasa2 ala kadrun pea 212 mereka bebas mengumpat mencaci maki dgn kalimat2 kotor 😅😅😅😅  Knpa bisa bgitu yak?😅,7,65,19,114,in,815290931003826176,1739126267956662637,blantik_pedhet2,https://twitter.com/blantik_pedhet2/status/1739126267956662637,,"DKI Jakarta, Indonesia"
2023-12-25 10:36:00+07:00,1739127827835105552,Abaikan dulu suara Pak Prabowo. 👉Coba fokus ke yang pakai Batik Merah  apakah ada yang tahu ? Kalau diluar atau di forum lain meledak-ledak. - Ternyata didepan Prabowo  ...........😓😓😓 https://t.co/LeAYvfTnVo,38,237,106,304,in,794509735282102272,1739127827835105552,Jayabay19479190,https://twitter.com/Jayabay19479190/status/1739127827835105552,https://pbs.twimg.com/ext_tw_video_thumb/1739127806901325824/pu/img/xE2v37nz_2Q6QQK4.jpg,Jakarta - Yogya - Rotterdam
2023-12-25 10:46:43+07:00,1739130525170942344,14 kuburan aktivis yang diculik Prabowo  di mana? Itu pertanyaan @ganjarpranowo dijawab dong.,0,2,27,90,in,1344446501112565761,1739130525170942344,mihrabku,https://twitter.com/mihrabku/status/1739130525170942344,,Indonesia
2023-12-25 10:48:01+07:00,1739130854532956490,ATAS IZIN TUHAN     Beliau pak @jokowi punya payung    Dan mampu memayungi    🇲🇨  Meneduhkan     Mencerdaskan      Anti panas dalam bulian     Anti kuyup dalam kebencian      Pak @prabowo berguru padanya      Mas  @gibran_tweet adalah didikannya      ✌✌  🇲🇨💪🙏 https://t.co/m6YWLh3mgu,15,204,39,199,in,1530146266822258688,1739130854532956490,zy_zy_its_me,https://twitter.com/zy_zy_its_me/status/1739130854532956490,https://pbs.twimg.com/media/GCKiS5DbYAAXNj3.jpg,"DKI Jakarta, Indonesia"
